,originalTitle,numVotes,startYear,averageRating
407955,CM101MMXI Fundamentals,43774,2013.0,9.2
54734,The Dark Knight,2282922,2008.0,9.0
465,The Lord of the Rings: The Return of the King,1629102,2003.0,8.9
582496,Dag II,104661,2016.0,8.8
259120,Inception,2046291,2010.0,8.8
94,The Lord of the Rings: The Fellowship of the Ring,1645568,2001.0,8.8
143360,Soorarai Pottru,51064,2020.0,8.7
466,The Lord of the Rings: The Two Towers,1472768,2002.0,8.7
104872,Interstellar,1491198,2014.0,8.6
3704,Sen to Chihiro no kamikakushi,642880,2001.0,8.6
696142,Hamilton,49950,2020.0,8.6
628368,Gisaengchung,523791,2019.0,8.6
16513,Cidade de Deus,694838,2002.0,8.6
37038,The Departed,1179166,2006.0,8.5
59192,The Prestige,1178601,2006.0,8.5
304797,Intouchables,750976,2011.0,8.5
525,Gladiator,1330015,2000.0,8.5
4593,The Pianist,722299,2002.0,8.5
651490,Joker,912928,2019.0,8.5
407441,Whiplash,708169,2014.0,8.5
