,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",162.61,162.73,158.13,158.84,158.84,"1,223,800"
1,"Dec 14, 2018",165.30,168.38,163.40,163.78,163.78,"968,600"
2,"Dec 13, 2018",166.82,167.98,165.13,166.29,166.29,"1,008,100"
3,"Dec 12, 2018",166.95,168.86,166.12,166.98,166.98,"1,461,100"
4,"Dec 11, 2018",167.68,168.89,165.01,165.80,165.80,"861,200"
5,"Dec 10, 2018",167.81,167.82,163.41,166.17,166.17,"1,471,200"
6,"Dec 07, 2018",174.62,177.26,167.38,167.59,167.59,"761,800"
7,"Dec 06, 2018",176.31,177.00,170.75,175.76,175.76,"1,226,600"
8,"Dec 04, 2018",180.12,181.73,175.62,178.19,178.19,"1,549,500"
9,"Dec 03, 2018",178.97,179.79,174.85,177.89,177.89,"895,200"
10,"Nov 30, 2018",177.78,178.91,175.01,177.71,177.71,"1,399,600"
11,"Nov 29, 2018",177.91,179.18,177.34,177.67,177.67,"747,800"
12,"Nov 28, 2018",178.85,180.79,177.95,178.95,178.95,"1,086,600"
13,"Nov 27, 2018",176.65,181.42,176.60,179.27,179.27,"701,700"
14,"Nov 26, 2018",178.91,180.77,176.92,177.72,177.72,"658,800"
15,"Nov 23, 2018",173.70,178.53,173.66,177.24,177.24,"325,700"
16,"Nov 21, 2018",171.50,176.09,171.41,174.67,174.67,"893,700"
17,"Nov 20, 2018",174.05,177.67,171.12,171.53,171.53,"891,900"
18,"Nov 19, 2018",179.15,182.49,176.90,177.75,177.75,"856,700"
19,"Nov 16, 2018",177.55,179.49,176.00,179.21,179.21,"876,000"
20,"Nov 15, 2018",176.88,180.44,174.80,179.05,179.05,"1,026,600"
21,"Nov 14, 2018",185.99,186.15,177.61,177.68,177.68,"1,806,900"
22,"Nov 13, 2018",184.07,185.50,177.51,184.72,184.72,"3,662,700"
23,"Nov 12, 2018",170.33,170.90,166.19,167.06,167.06,"1,522,400"
24,"Nov 09, 2018",172.66,174.71,170.69,171.18,171.18,"1,202,300"
25,"Nov 08, 2018",170.12,173.69,169.45,172.45,172.45,"1,354,200"
