,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",162.61,162.73,158.13,158.84,158.84,"1,223,775"
1,"Dec 01, 2018",178.97,181.73,158.13,158.84,158.84,"11,427,100"
2,"Oct 31, 2018",159.96,186.15,158.10,177.71,177.71,"24,346,500"
3,"Sep 30, 2018",169.02,171.50,154.02,159.76,159.76,"26,506,800"
4,"Sep 19, 2018",0.06,Dividend,,,,
5,"Aug 31, 2018",164.51,171.33,159.00,168.33,168.27,"18,880,200"
6,"Jul 31, 2018",140.52,165.07,139.40,164.03,163.97,"24,849,900"
7,"Jun 30, 2018",135.00,145.20,133.42,141.23,141.18,"14,776,900"
8,"Jun 20, 2018",0.06,Dividend,,,,
9,"May 31, 2018",128.84,143.42,127.26,135.70,135.59,"21,193,400"
10,"Apr 30, 2018",113.86,129.41,111.86,128.62,128.52,"27,212,200"
11,"Mar 31, 2018",118.61,119.18,102.15,114.45,114.36,"24,039,600"
12,"Mar 21, 2018",0.06,Dividend,,,,
13,"Mar 01, 2018",114.24,120.10,110.34,118.55,118.40,"21,046,300"
14,"Feb 01, 2018",116.24,119.30,103.34,114.25,114.10,"31,467,900"
15,"Jan 01, 2018",100.90,123.90,99.71,116.99,116.84,"30,761,400"
16,"Dec 20, 2017",0.06,Dividend,,,,
17,"Dec 01, 2017",100.74,107.79,96.57,99.69,99.50,"26,812,700"
18,"Oct 31, 2017",82.33,102.89,78.81,101.00,100.81,"47,197,900"
19,"Sep 30, 2017",99.58,100.10,81.13,81.74,81.58,"43,009,700"
20,"Sep 20, 2017",0.06,Dividend,,,,
21,"Aug 31, 2017",98.31,100.71,91.46,99.20,98.95,"36,522,800"
22,"Jul 31, 2017",112.00,115.40,82.21,97.90,97.65,"64,217,400"
23,"Jun 30, 2017",117.45,118.73,99.13,112.01,111.72,"39,698,100"
24,"Jun 20, 2017",0.06,Dividend,,,,
25,"May 31, 2017",134.10,138.23,115.62,116.59,116.24,"35,881,800"
26,"Apr 30, 2017",143.15,151.72,129.40,133.63,133.23,"36,334,100"
27,"Mar 31, 2017",148.40,149.20,140.12,142.14,141.71,"19,521,300"
28,"Mar 21, 2017",0.06,Dividend,,,,
29,"Mar 01, 2017",158.59,158.59,146.18,148.26,147.75,"22,652,200"
30,"Feb 01, 2017",164.02,169.55,155.18,156.61,156.07,"27,616,000"
31,"Jan 01, 2017",170.78,177.50,162.27,164.24,163.68,"17,331,400"
32,"Dec 20, 2016",0.06,Dividend,,,,
