,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",162.61,162.73,158.13,158.84,158.84,"1,223,775"
1,"Dec 17, 2018",162.61,162.73,158.13,158.84,158.84,"1,223,800"
2,"Dec 10, 2018",167.81,168.89,163.40,163.78,163.78,"5,770,200"
3,"Dec 03, 2018",178.97,181.73,167.38,167.59,167.59,"4,433,100"
4,"Nov 26, 2018",178.91,181.42,175.01,177.71,177.71,"4,594,500"
5,"Nov 19, 2018",179.15,182.49,171.12,177.24,177.24,"2,968,000"
6,"Nov 12, 2018",170.33,186.15,166.19,179.21,179.21,"8,894,600"
7,"Nov 05, 2018",165.24,174.71,163.29,171.18,171.18,"5,781,800"
8,"Oct 28, 2018",166.71,168.52,158.10,165.00,165.00,"6,504,400"
9,"Oct 21, 2018",164.39,167.02,157.13,164.55,164.55,"6,901,000"
10,"Oct 14, 2018",165.00,170.70,154.02,164.33,164.33,"6,479,800"
11,"Oct 07, 2018",165.40,171.50,160.60,165.12,165.12,"5,074,500"
12,"Sep 30, 2018",169.02,171.13,164.31,165.83,165.83,"3,654,700"
13,"Sep 23, 2018",167.70,171.04,165.74,168.33,168.33,"4,390,300"
14,"Sep 16, 2018",167.51,171.33,159.00,168.44,168.38,"5,961,400"
15,"Sep 09, 2018",168.47,169.09,165.19,165.45,165.39,"4,599,900"
16,"Sep 02, 2018",164.51,170.91,164.20,167.28,167.22,"3,928,600"
17,"Aug 26, 2018",164.87,164.99,160.00,164.03,163.97,"4,802,900"
18,"Aug 19, 2018",160.44,165.07,159.35,164.36,164.30,"4,617,800"
19,"Aug 12, 2018",147.00,160.63,144.50,159.72,159.66,"9,779,500"
20,"Aug 05, 2018",145.52,148.70,143.49,146.35,146.30,"3,920,500"
21,"Jul 29, 2018",139.85,145.66,139.40,144.68,144.63,"2,620,400"
22,"Jul 22, 2018",142.14,145.20,138.67,139.85,139.80,"3,427,200"
23,"Jul 15, 2018",139.67,143.70,139.02,142.67,142.62,"3,709,400"
24,"Jul 08, 2018",137.59,141.91,136.37,139.34,139.29,"3,900,500"
25,"Jul 01, 2018",135.00,138.00,133.42,137.17,137.12,"2,848,600"
26,"Jun 24, 2018",137.94,139.17,133.32,135.70,135.65,"4,551,000"
27,"Jun 17, 2018",136.14,143.42,135.83,138.85,138.74,"5,223,400"
28,"Jun 10, 2018",132.24,137.33,131.34,137.16,137.05,"5,003,500"
29,"Jun 03, 2018",129.00,132.67,128.51,131.71,131.61,"5,427,300"
30,"May 27, 2018",124.36,129.67,123.06,128.34,128.24,"4,909,500"
31,"May 20, 2018",118.40,126.24,113.61,124.91,124.81,"9,801,700"
32,"May 13, 2018",119.88,121.90,118.08,118.32,118.23,"4,814,400"
33,"May 06, 2018",116.99,122.30,111.86,119.94,119.85,"5,182,700"
34,"Apr 29, 2018",116.46,117.73,113.09,116.67,116.58,"4,549,500"
35,"Apr 22, 2018",103.26,116.61,102.15,116.34,116.25,"6,054,800"
36,"Apr 15, 2018",106.93,109.93,102.90,103.76,103.68,"6,110,300"
37,"Apr 08, 2018",112.94,114.89,105.39,106.61,106.53,"4,715,000"
38,"Apr 01, 2018",118.61,119.18,108.95,111.91,111.82,"6,102,100"
39,"Mar 25, 2018",112.49,119.42,111.88,118.55,118.46,"4,239,800"
40,"Mar 18, 2018",116.79,117.56,110.34,110.84,110.70,"4,266,900"
41,"Mar 11, 2018",118.56,120.10,115.47,116.63,116.48,"4,454,100"
42,"Mar 05, 2018",115.45,119.04,114.40,118.86,118.70,"4,561,300"
43,"Feb 26, 2018",116.50,117.89,108.90,116.07,115.92,"8,996,500"
44,"Feb 19, 2018",107.40,119.30,103.72,116.32,116.17,"10,884,400"
45,"Feb 12, 2018",109.80,110.80,105.26,107.57,107.43,"5,445,300"
46,"Feb 05, 2018",113.05,115.35,103.34,109.14,109.00,"7,813,000"
47,"Jan 29, 2018",123.52,123.63,113.13,113.93,113.78,"6,382,000"
48,"Jan 22, 2018",116.88,123.90,115.90,123.64,123.48,"6,826,800"
49,"Jan 15, 2018",116.76,117.51,112.86,117.02,116.87,"4,938,300"
50,"Jan 08, 2018",112.05,116.05,108.90,115.94,115.79,"5,654,700"
51,"Jan 01, 2018",100.90,113.15,99.71,112.18,112.03,"8,812,500"
52,"Dec 25, 2017",100.80,102.75,98.17,99.69,99.56,"3,127,400"
53,"Dec 18, 2017",101.34,103.10,98.03,100.55,100.36,"5,607,600"
54,"Dec 11, 2017",100.15,105.56,99.11,100.70,100.51,"7,754,200"
55,"Dec 04, 2017",100.94,107.79,96.57,100.31,100.12,"8,070,600"
56,"Nov 27, 2017",89.61,101.65,89.04,99.28,99.09,"10,506,200"
57,"Nov 20, 2017",89.21,91.68,88.24,89.23,89.06,"4,540,000"
58,"Nov 13, 2017",80.72,102.89,80.46,89.27,89.10,"20,960,500"
59,"Nov 06, 2017",81.53,81.99,78.81,81.22,81.06,"9,509,400"
60,"Oct 29, 2017",81.93,83.15,80.21,81.80,81.64,"7,326,000"
61,"Oct 22, 2017",86.55,87.64,81.31,81.93,81.77,"11,344,300"
62,"Oct 15, 2017",85.70,88.97,84.76,86.78,86.61,"10,450,300"
63,"Oct 08, 2017",94.23,94.47,85.40,85.51,85.35,"9,223,600"
64,"Oct 01, 2017",99.58,100.10,93.60,94.29,94.11,"8,600,200"
65,"Sep 24, 2017",95.83,99.99,95.39,99.20,99.01,"8,121,800"
66,"Sep 17, 2017",99.66,100.71,93.19,95.59,95.35,"10,007,000"
67,"Sep 10, 2017",94.00,100.32,91.46,99.51,99.26,"9,526,500"
68,"Sep 03, 2017",97.71,98.92,92.48,94.03,93.79,"7,771,900"
69,"Aug 27, 2017",95.94,99.43,93.10,98.06,97.81,"7,307,900"
70,"Aug 20, 2017",93.93,97.84,92.36,95.80,95.56,"8,860,700"
71,"Aug 13, 2017",107.88,109.81,82.21,93.26,93.02,"36,115,200"
72,"Aug 06, 2017",110.86,111.17,105.24,107.34,107.07,"6,984,200"
73,"Jul 30, 2017",111.61,115.40,110.30,111.01,110.73,"8,022,700"
74,"Jul 23, 2017",105.11,111.19,103.12,110.21,109.93,"7,643,400"
75,"Jul 16, 2017",101.81,105.46,99.81,105.27,105.00,"8,209,700"
76,"Jul 09, 2017",101.94,103.79,99.37,102.04,101.78,"8,767,000"
77,"Jul 02, 2017",117.45,118.73,99.13,101.93,101.67,"13,100,300"
78,"Jun 25, 2017",120.06,124.62,115.62,116.59,116.29,"8,482,100"
79,"Jun 18, 2017",130.30,131.07,118.26,119.74,119.38,"10,204,100"
80,"Jun 11, 2017",128.11,131.93,127.63,130.16,129.77,"6,189,000"
81,"Jun 04, 2017",137.00,137.00,123.49,128.36,127.97,"8,484,100"
82,"May 28, 2017",134.65,138.23,131.62,137.80,137.38,"6,184,800"
83,"May 21, 2017",150.90,151.35,129.40,134.16,133.75,"17,966,800"
84,"May 14, 2017",144.66,151.72,142.11,151.47,151.01,"7,821,400"
85,"May 07, 2017",145.17,147.11,143.03,145.02,144.58,"3,396,000"
86,"Apr 30, 2017",143.15,145.02,139.87,144.98,144.54,"3,487,600"
87,"Apr 23, 2017",147.88,148.35,140.12,142.14,141.71,"6,586,600"
88,"Apr 16, 2017",141.26,147.02,140.15,146.84,146.40,"4,822,900"
89,"Apr 09, 2017",141.88,143.92,140.89,140.89,140.46,"2,575,300"
90,"Apr 02, 2017",148.40,149.20,141.93,142.05,141.62,"5,536,500"
91,"Mar 26, 2017",148.50,150.07,146.18,148.26,147.81,"4,308,700"
92,"Mar 19, 2017",152.95,154.23,149.35,149.73,149.22,"4,043,400"
