,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",85.07,86.88,84.20,84.93,84.93,"5,957,700"
1,"Dec 14, 2018",86.80,87.16,85.08,85.61,85.61,"5,461,600"
2,"Dec 13, 2018",89.37,89.99,87.37,87.71,87.71,"4,078,600"
3,"Dec 12, 2018",89.32,90.17,88.36,88.60,88.60,"4,185,100"
4,"Dec 11, 2018",88.62,89.44,86.66,88.17,88.17,"5,098,100"
5,"Dec 10, 2018",86.67,87.88,84.60,87.61,87.61,"5,229,400"
6,"Dec 07, 2018",89.93,90.00,86.37,86.96,86.96,"6,737,700"
7,"Dec 06, 2018",89.70,90.48,87.17,90.33,90.33,"8,734,300"
8,"Dec 04, 2018",93.92,94.98,90.40,90.55,90.55,"7,008,400"
9,"Dec 03, 2018",94.32,94.72,92.82,93.66,93.66,"6,673,900"
10,"Nov 30, 2018",90.26,94.27,89.87,94.27,94.27,"12,031,700"
11,"Nov 29, 2018",89.01,90.33,88.36,89.91,89.91,"3,838,000"
12,"Nov 28, 2018",88.04,88.96,86.56,88.94,88.94,"3,953,600"
13,"Nov 27, 2018",86.22,87.70,85.50,87.68,87.68,"4,338,300"
14,"Nov 26, 2018",86.39,87.25,85.21,86.24,86.24,"4,880,500"
15,"Nov 23, 2018",85.60,86.55,84.90,85.63,85.63,"1,612,800"
16,"Nov 21, 2018",88.50,88.78,85.37,86.15,86.15,"6,532,500"
17,"Nov 20, 2018",89.00,89.71,87.86,88.09,88.09,"5,372,900"
18,"Nov 19, 2018",91.29,92.34,89.11,89.48,89.48,"5,971,700"
19,"Nov 16, 2018",89.73,92.00,89.20,91.53,91.53,"8,691,100"
20,"Nov 15, 2018",87.63,90.29,85.96,90.14,90.14,"10,365,700"
21,"Nov 14, 2018",89.05,89.40,86.45,88.31,88.31,"7,268,200"
22,"Nov 13, 2018",90.00,90.88,88.20,88.22,88.22,"7,237,200"
23,"Nov 12, 2018",88.75,89.89,88.50,89.69,89.69,"9,344,700"
24,"Nov 09, 2018",87.83,89.53,87.56,88.79,88.79,"9,169,800"
25,"Nov 08, 2018",87.13,89.71,87.00,87.73,87.73,"9,333,200"
26,"Nov 07, 2018",84.15,87.22,84.14,86.96,86.96,"10,378,000"
27,"Nov 06, 2018",82.73,84.23,82.31,83.66,83.66,"7,945,500"
28,"Nov 05, 2018",79.45,83.83,79.27,82.58,82.58,"10,315,600"
29,"Nov 02, 2018",84.18,84.42,78.76,79.56,79.56,"12,781,500"
30,"Nov 01, 2018",77.71,80.65,77.50,80.21,80.21,"10,671,700"
31,"Oct 31, 2018",80.98,81.58,77.74,77.85,77.85,"14,068,500"
32,"Oct 30, 2018",81.93,82.88,80.13,81.59,81.59,"5,243,100"
33,"Oct 29, 2018",82.15,83.17,79.94,81.36,81.36,"4,343,900"
34,"Oct 26, 2018",81.02,81.53,79.43,80.79,80.79,"6,181,500"
35,"Oct 25, 2018",80.40,83.19,79.66,81.73,81.73,"9,173,500"
36,"Oct 24, 2018",82.84,83.13,79.26,79.41,79.41,"8,689,100"
37,"Oct 23, 2018",82.58,84.59,81.50,82.96,82.96,"8,096,200"
38,"Oct 22, 2018",88.53,88.53,83.50,84.27,84.27,"7,621,100"
39,"Oct 19, 2018",89.26,89.99,87.97,87.97,87.97,"7,059,400"
40,"Oct 18, 2018",91.85,92.40,89.22,89.90,89.90,"4,422,300"
41,"Oct 17, 2018",91.82,92.41,90.83,92.27,92.27,"2,857,400"
42,"Oct 16, 2018",89.78,91.98,89.53,91.91,91.91,"3,787,100"
43,"Oct 15, 2018",90.51,90.60,89.18,89.18,89.18,"4,827,900"
44,"Oct 12, 2018",90.71,91.08,88.90,90.69,90.69,"5,709,600"
45,"Oct 11, 2018",93.00,93.38,89.61,90.70,89.74,"9,994,400"
