,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",86.80,86.88,84.20,84.93,84.93,"5,958,247"
1,"Dec 01, 2018",94.32,94.98,84.20,84.93,84.93,"59,164,800"
2,"Oct 31, 2018",77.71,94.27,77.50,94.27,94.27,"162,381,600"
3,"Oct 12, 2018",0.96,Dividend,,,,
4,"Sep 30, 2018",94.74,96.60,77.74,77.85,77.03,"138,285,200"
5,"Aug 31, 2018",95.97,96.40,90.40,94.58,93.58,"98,489,900"
6,"Jul 31, 2018",92.29,100.23,92.28,95.98,94.96,"111,840,600"
7,"Jul 12, 2018",0.96,Dividend,,,,
8,"Jun 30, 2018",92.06,98.95,86.76,92.23,90.33,"145,209,800"
9,"May 31, 2018",97.93,101.08,90.81,92.65,90.74,"161,450,700"
10,"Apr 30, 2018",102.10,107.25,98.50,98.94,96.90,"240,049,300"
11,"Apr 12, 2018",0.96,Dividend,,,,
12,"Mar 31, 2018",94.00,99.42,88.22,96.55,93.59,"139,796,000"
13,"Mar 01, 2018",115.91,121.45,91.12,94.65,91.75,"168,460,900"
14,"Feb 01, 2018",112.24,122.00,101.00,115.83,112.28,"139,407,500"
15,"Jan 11, 2018",0.71,Dividend,,,,
16,"Jan 01, 2018",97.14,125.86,96.75,112.22,108.01,"143,334,100"
17,"Dec 01, 2017",97.19,99.10,92.90,96.71,93.08,"85,780,700"
18,"Oct 31, 2017",90.78,97.53,90.19,96.92,93.28,"100,958,500"
19,"Oct 12, 2017",0.64,Dividend,,,,
20,"Sep 30, 2017",89.74,98.26,85.24,90.25,86.26,"139,557,400"
21,"Aug 31, 2017",75.59,90.95,74.73,88.86,84.93,"192,270,000"
22,"Jul 31, 2017",70.03,75.40,69.47,75.30,71.97,"99,255,800"
23,"Jul 12, 2017",0.64,Dividend,,,,
24,"Jun 30, 2017",72.76,75.04,69.38,69.91,66.22,"99,934,600"
25,"May 31, 2017",66.26,73.67,66.12,72.51,68.69,"131,209,400"
26,"Apr 30, 2017",66.00,67.40,64.61,66.02,62.54,"124,386,700"
27,"Apr 11, 2017",0.64,Dividend,,,,
28,"Mar 31, 2017",65.24,67.50,63.12,65.94,61.85,"103,868,100"
29,"Mar 01, 2017",62.16,66.79,61.95,65.16,61.12,"143,064,500"
30,"Feb 01, 2017",61.07,62.40,60.05,61.84,58.00,"123,589,300"
31,"Jan 11, 2017",0.64,Dividend,,,,
32,"Jan 01, 2017",62.92,64.50,59.27,61.11,56.75,"155,644,800"
33,"Dec 01, 2016",60.83,63.33,58.75,62.62,58.15,"148,136,700"
34,"Oct 31, 2016",56.00,65.05,55.68,60.80,56.46,"195,177,500"
35,"Oct 12, 2016",0.57,Dividend,,,,
36,"Sep 30, 2016",63.02,63.75,55.06,55.78,51.32,"133,909,100"
37,"Aug 31, 2016",64.10,65.33,62.45,63.07,58.03,"137,633,900"
38,"Jul 31, 2016",66.23,68.12,63.50,64.10,58.98,"150,171,800"
39,"Jul 13, 2016",0.57,Dividend,,,,
40,"Jun 30, 2016",61.98,66.40,61.77,66.23,60.41,"153,114,400"
41,"May 31, 2016",62.93,65.37,58.33,61.91,56.47,"211,605,400"
42,"Apr 30, 2016",60.79,63.87,58.50,62.93,57.40,"204,747,000"
43,"Apr 13, 2016",0.57,Dividend,,,,
44,"Mar 31, 2016",56.58,62.10,56.36,61.00,55.11,"139,375,600"
45,"Mar 01, 2016",54.78,57.87,54.24,57.12,51.60,"140,732,100"
46,"Feb 01, 2016",54.16,57.31,51.60,54.61,49.34,"182,620,100"
47,"Jan 13, 2016",0.57,Dividend,,,,
48,"Jan 01, 2016",58.06,59.81,50.71,54.90,49.08,"217,718,800"
49,"Dec 01, 2015",58.23,60.12,53.24,59.24,52.96,"160,409,000"
50,"Oct 31, 2015",61.60,64.30,57.96,58.15,51.99,"157,716,100"
51,"Oct 13, 2015",0.51,Dividend,,,,
52,"Sep 30, 2015",54.68,60.73,45.45,59.55,52.75,"266,435,900"
53,"Aug 31, 2015",61.00,62.28,51.88,54.41,48.20,"240,673,000"
54,"Jul 31, 2015",70.19,70.79,53.87,62.41,55.29,"220,285,900"
55,"Jul 13, 2015",0.51,Dividend,,,,
56,"Jun 30, 2015",67.90,71.60,67.32,70.01,61.56,"181,338,200"
57,"May 31, 2015",66.80,70.75,66.10,67.19,59.08,"210,640,900"
58,"Apr 30, 2015",65.09,67.99,63.40,66.59,58.55,"219,946,800"
59,"Apr 13, 2015",0.51,Dividend,,,,
60,"Mar 31, 2015",58.48,66.66,56.33,64.66,56.39,"261,190,400"
61,"Mar 01, 2015",60.50,61.73,54.78,58.54,51.05,"292,768,500"
62,"Feb 01, 2015",61.49,61.90,55.18,60.50,52.76,"258,608,500"
63,"Jan 13, 2015",0.49,Dividend,,,,
64,"Jan 01, 2015",65.44,68.29,60.12,60.35,52.24,"167,896,500"
65,"Dec 01, 2014",69.08,70.76,64.02,65.44,56.64,"157,630,500"
66,"Oct 31, 2014",63.66,69.48,61.31,69.20,59.90,"121,411,000"
67,"Oct 10, 2014",0.42,Dividend,,,,
68,"Sep 30, 2014",57.93,63.99,52.06,63.46,54.52,"466,032,700"
69,"Aug 31, 2014",55.43,60.02,54.83,57.76,49.63,"241,519,600"
70,"Jul 31, 2014",52.03,55.94,51.37,55.28,47.50,"213,154,600"
71,"Jul 11, 2014",0.42,Dividend,,,,
72,"Jun 30, 2014",56.42,58.27,51.82,52.34,44.63,"325,914,600"
73,"May 31, 2014",54.43,56.90,52.29,56.44,48.13,"122,636,200"
74,"Apr 30, 2014",51.89,54.61,50.31,54.33,46.33,"92,470,200"
75,"Apr 11, 2014",0.42,Dividend,,,,
76,"Mar 31, 2014",51.62,54.44,45.50,52.08,44.02,"154,855,500"
77,"Mar 01, 2014",50.34,54.73,49.79,51.40,43.44,"122,225,700"
78,"Feb 01, 2014",49.40,52.11,46.95,50.91,43.03,"120,695,900"
79,"Jan 13, 2014",0.4,Dividend,,,,
80,"Jan 01, 2014",52.12,52.70,46.42,49.23,41.28,"163,880,000"
81,"Dec 01, 2013",-,-,-,-,-,-
