,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",86.80,86.88,84.20,84.93,84.93,"5,958,247"
1,"Dec 17, 2018",85.07,86.88,84.20,84.93,84.93,"5,957,700"
2,"Dec 10, 2018",86.67,90.17,84.60,85.61,85.61,"24,052,800"
3,"Dec 03, 2018",94.32,94.98,86.37,86.96,86.96,"29,154,300"
4,"Nov 26, 2018",86.39,94.27,85.21,94.27,94.27,"29,042,100"
5,"Nov 19, 2018",91.29,92.34,84.90,85.63,85.63,"19,489,900"
6,"Nov 12, 2018",88.75,92.00,85.96,91.53,91.53,"42,906,900"
7,"Nov 05, 2018",79.45,89.71,79.27,88.79,88.79,"47,142,100"
8,"Oct 28, 2018",82.15,84.42,77.50,79.56,79.56,"47,108,700"
9,"Oct 21, 2018",88.53,88.53,79.26,80.79,80.79,"39,761,400"
10,"Oct 14, 2018",90.51,92.41,87.97,87.97,87.97,"22,954,100"
11,"Oct 07, 2018",94.07,95.39,88.90,90.69,89.73,"27,945,900"
12,"Sep 30, 2018",94.74,96.60,92.91,94.38,93.38,"23,968,300"
13,"Sep 23, 2018",92.30,95.16,91.95,94.58,93.58,"23,426,900"
14,"Sep 16, 2018",95.40,96.16,90.40,92.26,91.28,"38,553,400"
15,"Sep 09, 2018",94.98,96.40,92.04,95.68,94.67,"17,396,700"
16,"Sep 02, 2018",95.97,95.97,91.60,94.17,93.17,"19,112,900"
17,"Aug 26, 2018",98.11,98.70,95.72,95.98,94.96,"17,746,000"
18,"Aug 19, 2018",99.33,100.23,96.55,97.40,96.37,"17,797,800"
19,"Aug 12, 2018",96.00,99.15,95.61,98.81,97.76,"30,948,200"
20,"Aug 05, 2018",96.26,98.35,92.87,95.80,94.79,"29,118,900"
21,"Jul 29, 2018",90.67,96.85,89.38,96.53,95.51,"31,387,500"
22,"Jul 22, 2018",89.17,94.56,88.64,90.56,89.60,"41,494,300"
23,"Jul 15, 2018",96.76,97.17,86.76,88.91,87.97,"45,952,000"
24,"Jul 08, 2018",97.98,98.95,94.10,96.63,94.64,"25,687,400"
25,"Jul 01, 2018",92.06,97.07,91.85,96.92,94.92,"16,918,300"
26,"Jun 24, 2018",93.47,94.46,90.81,92.65,90.74,"30,010,000"
27,"Jun 17, 2018",99.15,99.55,93.43,93.49,91.57,"34,476,400"
28,"Jun 10, 2018",100.56,101.08,97.51,99.57,97.52,"47,101,600"
29,"Jun 03, 2018",98.48,100.50,97.62,100.43,98.36,"35,143,300"
30,"May 27, 2018",100.27,103.16,97.90,98.05,96.03,"88,962,800"
31,"May 20, 2018",107.00,107.25,99.55,101.08,99.00,"64,992,400"
32,"May 13, 2018",104.40,106.78,103.59,105.98,103.80,"37,186,900"
33,"May 06, 2018",100.75,104.69,98.70,104.18,102.04,"31,166,600"
34,"Apr 29, 2018",99.05,103.37,96.52,100.17,98.11,"39,909,400"
35,"Apr 22, 2018",92.93,99.35,90.44,98.73,96.70,"35,294,400"
36,"Apr 15, 2018",92.89,94.60,91.40,92.60,90.69,"23,414,600"
37,"Apr 08, 2018",91.39,94.48,90.42,91.83,89.02,"32,724,000"
38,"Apr 01, 2018",94.00,94.64,88.22,89.78,87.03,"40,913,600"
39,"Mar 25, 2018",99.49,99.91,91.12,94.65,91.75,"43,135,500"
40,"Mar 18, 2018",113.74,114.98,95.52,97.46,94.48,"59,265,500"
41,"Mar 11, 2018",119.40,121.45,113.59,113.71,110.23,"28,543,900"
