,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",312.57,312.57,295.40,298.77,298.77,"758,400"
1,"Dec 14, 2018",313.63,323.93,312.03,316.19,316.19,"348,600"
2,"Dec 13, 2018",332.42,338.21,317.26,319.72,319.72,"444,200"
3,"Dec 12, 2018",335.00,341.09,330.32,330.69,330.69,"376,900"
4,"Dec 11, 2018",330.00,330.80,322.60,328.13,328.13,"391,800"
5,"Dec 10, 2018",317.90,326.79,312.46,323.66,323.66,"447,800"
6,"Dec 07, 2018",331.56,333.00,315.05,317.52,317.52,"469,100"
7,"Dec 06, 2018",318.00,333.26,310.58,332.98,332.98,"501,100"
8,"Dec 04, 2018",340.83,343.20,321.90,327.18,327.18,"587,700"
9,"Dec 03, 2018",339.62,344.99,333.21,343.45,343.45,"573,000"
10,"Nov 30, 2018",334.36,335.98,329.04,332.68,332.68,"522,900"
11,"Nov 29, 2018",331.65,335.42,327.00,331.99,331.99,"533,400"
12,"Nov 28, 2018",316.64,335.99,316.46,335.22,335.22,"710,500"
13,"Nov 27, 2018",309.30,318.52,304.56,313.95,313.95,"1,090,200"
14,"Nov 26, 2018",301.40,312.27,295.20,311.15,311.15,"724,500"
15,"Nov 23, 2018",299.88,305.70,298.25,299.41,299.41,"224,600"
16,"Nov 21, 2018",306.62,315.14,300.41,301.60,301.60,"475,800"
17,"Nov 20, 2018",288.92,307.92,280.83,302.29,302.29,"963,800"
18,"Nov 19, 2018",316.03,316.32,293.73,299.83,299.83,"966,300"
19,"Nov 16, 2018",318.04,332.15,315.38,319.78,319.78,"752,900"
20,"Nov 15, 2018",310.58,324.27,301.12,320.78,320.78,"931,300"
21,"Nov 14, 2018",333.30,335.16,309.83,312.56,312.56,"1,169,400"
22,"Nov 13, 2018",342.40,351.74,329.30,330.63,330.63,"784,600"
23,"Nov 12, 2018",388.99,388.99,330.01,337.86,337.86,"1,692,900"
24,"Nov 09, 2018",413.32,413.32,395.64,405.17,405.17,"527,300"
25,"Nov 08, 2018",409.80,420.18,404.01,413.85,413.85,"436,200"
26,"Nov 07, 2018",410.00,427.70,402.00,412.10,412.10,"818,300"
27,"Nov 06, 2018",392.78,399.58,381.84,389.85,389.85,"442,600"
28,"Nov 05, 2018",385.85,395.24,379.51,392.91,392.91,"707,500"
29,"Nov 02, 2018",390.00,399.88,376.12,384.13,384.13,"765,400"
30,"Nov 01, 2018",357.00,378.37,342.00,376.94,376.94,"1,482,100"
31,"Oct 31, 2018",338.00,352.46,333.88,341.20,341.20,"897,700"
32,"Oct 30, 2018",320.15,333.67,315.34,331.22,331.22,"602,800"
33,"Oct 29, 2018",331.39,339.69,313.40,320.03,320.03,"730,100"
34,"Oct 26, 2018",320.10,337.52,317.56,330.35,330.35,"753,300"
35,"Oct 25, 2018",352.00,352.00,317.00,333.12,333.12,"1,416,100"
36,"Oct 24, 2018",369.48,376.80,352.00,352.71,352.71,"497,900"
37,"Oct 23, 2018",358.89,373.85,350.25,370.04,370.04,"492,500"
38,"Oct 22, 2018",363.02,368.69,355.61,366.20,366.20,"504,900"
39,"Oct 19, 2018",388.41,391.70,360.63,362.42,362.42,"850,500"
40,"Oct 18, 2018",389.47,389.96,380.05,386.63,386.63,"462,800"
41,"Oct 17, 2018",391.57,391.57,380.05,389.79,389.79,"355,500"
42,"Oct 16, 2018",376.28,388.11,374.74,386.88,386.88,"460,600"
43,"Oct 15, 2018",383.78,387.97,367.24,372.08,372.08,"674,000"
44,"Oct 12, 2018",381.57,396.19,374.26,384.78,384.78,"989,300"
45,"Oct 11, 2018",372.00,383.88,363.63,367.54,367.54,"815,500"
46,"Oct 10, 2018",394.64,396.99,375.61,376.89,376.89,"865,800"
47,"Oct 09, 2018",397.35,408.87,393.96,395.08,395.08,"536,200"
48,"Oct 08, 2018",414.17,415.55,388.39,399.01,399.01,"785,200"
49,"Oct 05, 2018",418.99,430.93,405.48,415.71,415.71,"565,000"
50,"Oct 04, 2018",424.81,424.97,407.62,416.79,416.79,"587,500"
51,"Oct 03, 2018",429.59,431.00,418.41,426.42,426.42,"470,200"
52,"Oct 02, 2018",442.92,442.92,426.39,429.17,429.17,"843,900"
53,"Oct 01, 2018",452.90,459.75,442.93,444.25,444.25,"526,300"
54,"Sep 28, 2018",441.29,455.40,441.00,449.75,449.75,"696,400"
55,"Sep 27, 2018",445.50,451.79,437.10,442.89,442.89,"621,000"
56,"Sep 26, 2018",443.49,454.00,438.52,444.70,444.70,"914,000"
57,"Sep 25, 2018",420.00,445.70,419.06,441.52,441.52,"1,198,500"
58,"Sep 24, 2018",381.03,422.91,378.00,419.61,419.61,"995,700"
59,"Sep 21, 2018",381.33,386.72,380.97,384.88,384.88,"1,565,400"
60,"Sep 20, 2018",377.75,382.10,372.19,381.98,381.98,"481,300"
61,"Sep 19, 2018",377.00,380.53,366.91,376.75,376.75,"450,300"
62,"Sep 18, 2018",369.06,380.64,368.55,376.56,376.56,"598,000"
63,"Sep 17, 2018",395.60,399.62,367.71,368.90,368.90,"643,800"
64,"Sep 14, 2018",392.32,399.12,392.00,395.67,395.67,"398,600"
65,"Sep 13, 2018",396.18,397.48,388.69,390.94,390.94,"374,800"
66,"Sep 12, 2018",397.00,398.91,380.39,392.94,392.94,"485,900"
67,"Sep 11, 2018",388.10,397.64,383.28,397.41,397.41,"467,200"
68,"Sep 10, 2018",381.27,389.56,378.57,388.58,388.58,"472,600"
69,"Sep 07, 2018",378.44,388.93,375.29,377.49,377.49,"379,800"
70,"Sep 06, 2018",385.10,386.44,376.14,383.10,383.10,"535,900"
71,"Sep 05, 2018",410.70,410.99,383.12,383.83,383.83,"736,300"
72,"Sep 04, 2018",402.06,413.79,400.01,411.36,411.36,"474,200"
73,"Aug 31, 2018",406.78,415.86,402.20,406.58,406.58,"527,300"
74,"Aug 30, 2018",399.89,414.70,399.89,408.58,408.58,"595,100"
75,"Aug 29, 2018",388.23,402.96,387.95,402.03,402.03,"641,600"
76,"Aug 28, 2018",381.26,386.88,378.34,385.97,385.97,"393,900"
77,"Aug 27, 2018",384.00,388.00,378.40,380.65,380.65,"336,100"
78,"Aug 24, 2018",378.07,384.44,376.60,381.03,381.03,"426,500"
79,"Aug 23, 2018",368.57,378.92,368.57,376.93,376.93,"424,600"
80,"Aug 22, 2018",362.11,371.42,362.11,368.38,368.38,"293,200"
81,"Aug 21, 2018",364.07,369.99,361.96,364.12,364.12,"402,700"
82,"Aug 20, 2018",358.27,364.44,354.52,362.48,362.48,"424,500"
83,"Aug 17, 2018",369.16,370.23,354.52,358.82,358.82,"445,600"
84,"Aug 16, 2018",364.92,369.51,357.44,368.97,368.97,"455,500"
85,"Aug 15, 2018",367.36,369.73,353.67,363.59,363.59,"495,700"
86,"Aug 14, 2018",368.42,372.37,361.87,371.25,371.25,"427,100"
87,"Aug 13, 2018",377.67,383.55,367.68,368.00,368.00,"379,100"
88,"Aug 10, 2018",379.46,387.79,377.11,377.83,377.83,"378,800"
89,"Aug 09, 2018",377.00,386.58,377.00,380.75,380.75,"364,000"
90,"Aug 08, 2018",376.42,380.31,371.21,376.01,376.01,"440,300"
91,"Aug 07, 2018",378.94,382.28,372.89,376.40,376.40,"478,100"
92,"Aug 06, 2018",376.16,382.64,374.17,378.56,378.56,"519,000"
93,"Aug 03, 2018",393.72,396.97,371.39,377.11,377.11,"1,019,900"
94,"Aug 02, 2018",361.02,373.09,358.00,372.20,372.20,"781,000"
95,"Aug 01, 2018",353.10,368.50,351.76,363.19,363.19,"821,900"
