,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",312.57,312.57,295.47,298.77,298.77,"758,392"
1,"Dec 01, 2018",339.62,344.99,295.40,298.77,298.77,"4,898,600"
2,"Oct 31, 2018",357.00,427.70,280.83,332.68,332.68,"16,750,100"
3,"Sep 30, 2018",452.90,459.75,313.40,341.20,341.20,"15,683,600"
4,"Aug 31, 2018",402.06,455.40,366.91,449.75,449.75,"12,489,700"
5,"Jul 31, 2018",353.10,415.86,351.76,406.58,406.58,"11,471,500"
6,"Jun 30, 2018",407.00,436.42,344.11,354.53,354.53,"16,214,300"
7,"May 31, 2018",384.90,450.93,380.17,409.05,409.05,"15,844,200"
8,"Apr 30, 2018",301.69,403.45,298.17,381.14,381.14,"27,752,100"
9,"Mar 31, 2018",291.43,309.28,274.23,300.95,300.95,"9,264,400"
10,"Mar 01, 2018",268.00,304.28,258.10,290.99,290.99,"9,217,400"
11,"Feb 01, 2018",238.00,274.40,219.13,268.18,268.18,"10,242,300"
12,"Jan 01, 2018",188.13,239.92,188.05,235.00,235.00,"6,312,000"
13,"Dec 01, 2017",195.00,196.54,186.72,187.41,187.41,"5,100,000"
14,"Oct 31, 2017",192.98,200.28,188.12,194.91,194.91,"9,996,000"
15,"Sep 30, 2017",168.93,193.95,164.80,192.92,192.92,"8,235,300"
16,"Aug 31, 2017",150.85,171.00,148.80,168.60,168.60,"6,038,200"
17,"Jul 31, 2017",148.85,157.41,144.01,150.80,150.80,"6,904,000"
18,"Jun 30, 2017",144.82,149.34,139.55,148.09,148.09,"6,068,800"
19,"May 31, 2017",137.45,147.45,134.80,143.30,143.30,"6,843,900"
20,"Apr 30, 2017",130.50,141.24,123.60,137.43,137.43,"7,721,000"
21,"Mar 31, 2017",125.23,131.68,117.37,130.32,130.32,"4,774,300"
22,"Mar 01, 2017",119.16,126.04,118.02,125.20,125.20,"6,050,900"
23,"Feb 01, 2017",106.28,118.84,103.53,117.97,117.97,"9,456,700"
24,"Jan 01, 2017",112.56,117.71,105.13,106.37,106.37,"8,978,600"
25,"Dec 01, 2016",112.08,120.89,106.59,112.68,112.68,"8,556,500"
26,"Oct 31, 2016",106.03,116.83,101.79,112.24,112.24,"11,433,200"
27,"Sep 30, 2016",127.94,132.95,95.14,104.99,104.99,"14,617,100"
28,"Aug 31, 2016",117.98,131.16,114.57,128.58,128.58,"7,863,700"
29,"Jul 31, 2016",118.12,124.72,116.21,117.94,117.94,"8,374,400"
30,"Jun 30, 2016",109.71,119.93,108.77,117.97,117.97,"12,406,100"
31,"May 31, 2016",98.98,109.66,98.01,109.29,109.29,"15,815,600"
32,"Apr 30, 2016",97.61,101.40,92.03,99.31,99.31,"11,030,700"
33,"Mar 31, 2016",94.62,103.17,93.74,97.14,97.14,"11,289,300"
34,"Mar 01, 2016",80.75,95.21,79.62,94.81,94.81,"16,982,500"
35,"Feb 01, 2016",84.13,92.57,67.81,80.01,80.01,"17,262,700"
36,"Jan 01, 2016",88.80,90.82,79.19,85.33,85.33,"11,631,400"
37,"Dec 01, 2015",81.75,92.99,77.72,90.28,90.28,"8,960,800"
38,"Oct 31, 2015",73.76,84.65,72.21,81.57,81.57,"10,285,900"
39,"Sep 30, 2015",92.75,99.22,68.25,73.66,73.66,"22,026,700"
40,"Aug 31, 2015",94.06,107.88,87.78,92.76,92.76,"13,853,100"
41,"Jul 31, 2015",77.95,110.68,76.23,95.90,95.90,"23,455,000"
42,"Jun 30, 2015",66.42,79.37,64.03,77.46,77.46,"13,608,800"
43,"May 31, 2015",61.03,69.33,59.04,65.73,65.73,"12,313,700"
44,"Apr 30, 2015",63.25,76.90,59.50,59.72,59.72,"17,745,900"
45,"Mar 31, 2015",71.14,71.73,63.04,63.22,63.22,"8,819,300"
46,"Mar 01, 2015",61.55,74.70,58.31,71.58,71.58,"12,838,900"
47,"Feb 01, 2015",51.73,61.94,50.90,60.79,60.79,"9,620,000"
48,"Jan 01, 2015",38.27,53.89,35.75,51.74,51.74,"10,979,900"
49,"Dec 01, 2014",35.45,39.02,34.53,38.06,38.06,"7,823,500"
50,"Oct 31, 2014",30.86,36.37,29.95,35.52,35.52,"8,278,500"
51,"Sep 30, 2014",24.85,32.99,21.84,32.79,32.79,"7,506,000"
52,"Aug 31, 2014",26.24,26.24,24.48,24.83,24.83,"4,192,100"
53,"Jul 31, 2014",25.59,26.33,24.61,26.05,26.05,"4,628,400"
54,"Jun 30, 2014",25.24,26.94,24.19,25.60,25.60,"6,677,600"
55,"May 31, 2014",22.75,25.24,22.25,25.14,25.14,"5,167,800"
56,"Apr 30, 2014",22.98,23.14,20.29,22.80,22.80,"9,155,100"
57,"Mar 31, 2014",26.15,26.57,23.24,23.69,23.69,"8,330,900"
58,"Mar 01, 2014",28.00,30.75,25.26,26.04,26.04,"11,720,400"
59,"Feb 01, 2014",27.10,29.20,25.32,28.19,28.19,"6,890,600"
60,"Jan 01, 2014",26.66,30.77,25.77,27.49,27.49,"8,885,100"
61,"Dec 01, 2013",-,-,-,-,-,-
