,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",312.57,312.57,295.47,298.77,298.77,"758,392"
1,"Dec 17, 2018",312.57,312.57,295.40,298.77,298.77,"758,400"
2,"Dec 10, 2018",317.90,341.09,312.03,316.19,316.19,"2,009,300"
3,"Dec 03, 2018",339.62,344.99,310.58,317.52,317.52,"2,130,900"
4,"Nov 26, 2018",301.40,335.99,295.20,332.68,332.68,"3,609,100"
5,"Nov 19, 2018",316.03,316.32,280.83,299.41,299.41,"2,630,500"
6,"Nov 12, 2018",388.99,388.99,301.12,319.78,319.78,"5,331,100"
7,"Nov 05, 2018",385.85,427.70,379.51,405.17,405.17,"2,931,900"
8,"Oct 28, 2018",331.39,399.88,313.40,384.13,384.13,"4,478,100"
9,"Oct 21, 2018",363.02,376.80,317.00,330.35,330.35,"3,664,700"
10,"Oct 14, 2018",383.78,391.70,360.63,362.42,362.42,"2,803,400"
11,"Oct 07, 2018",414.17,415.55,363.63,384.78,384.78,"3,992,000"
12,"Sep 30, 2018",452.90,459.75,405.48,415.71,415.71,"2,992,900"
13,"Sep 23, 2018",381.03,455.40,378.00,449.75,449.75,"4,425,600"
14,"Sep 16, 2018",395.60,399.62,366.91,384.88,384.88,"3,738,800"
15,"Sep 09, 2018",381.27,399.12,378.57,395.67,395.67,"2,199,100"
16,"Sep 02, 2018",402.06,413.79,375.29,377.49,377.49,"2,126,200"
17,"Aug 26, 2018",384.00,415.86,378.34,406.58,406.58,"2,494,000"
18,"Aug 19, 2018",358.27,384.44,354.52,381.03,381.03,"1,971,500"
19,"Aug 12, 2018",377.67,383.55,353.67,358.82,358.82,"2,203,000"
20,"Aug 05, 2018",376.16,387.79,371.21,377.83,377.83,"2,180,200"
21,"Jul 29, 2018",365.91,396.97,344.11,377.11,377.11,"4,885,000"
22,"Jul 22, 2018",423.50,436.42,360.22,369.17,369.17,"4,657,700"
23,"Jul 15, 2018",419.33,433.56,417.06,423.48,423.48,"3,579,500"
24,"Jul 08, 2018",407.88,421.11,399.18,418.76,418.76,"3,472,900"
25,"Jul 01, 2018",407.00,415.31,392.20,405.99,405.99,"2,242,000"
26,"Jun 24, 2018",420.74,432.62,398.00,409.05,409.05,"3,885,000"
27,"Jun 17, 2018",440.09,450.93,426.99,427.29,427.29,"3,907,300"
28,"Jun 10, 2018",409.77,445.45,408.46,443.58,443.58,"3,579,700"
29,"Jun 03, 2018",395.61,415.00,392.37,409.77,409.77,"3,564,100"
30,"May 27, 2018",388.65,399.47,375.00,392.25,392.25,"16,759,300"
31,"May 20, 2018",387.28,403.45,378.51,394.28,394.28,"2,463,800"
32,"May 13, 2018",370.87,388.75,368.14,384.36,384.36,"2,870,600"
33,"May 06, 2018",348.30,374.75,339.75,372.68,372.68,"2,764,000"
34,"Apr 29, 2018",303.28,352.15,298.17,349.28,349.28,"4,347,900"
35,"Apr 22, 2018",305.90,306.55,277.01,301.74,301.74,"2,801,400"
36,"Apr 15, 2018",298.00,309.28,294.28,305.92,305.92,"1,923,600"
37,"Apr 08, 2018",289.09,302.94,287.71,296.74,296.74,"1,811,800"
38,"Apr 01, 2018",291.43,297.00,274.23,286.22,286.22,"2,182,200"
39,"Mar 25, 2018",288.03,299.88,276.20,290.99,290.99,"1,663,400"
40,"Mar 18, 2018",291.27,295.83,282.12,283.99,283.99,"2,303,300"
41,"Mar 11, 2018",295.65,304.28,289.27,293.05,293.05,"1,912,500"
42,"Mar 05, 2018",274.52,297.45,273.18,294.52,294.52,"2,308,400"
43,"Feb 26, 2018",270.52,276.21,258.10,275.13,275.13,"1,792,400"
44,"Feb 19, 2018",267.90,274.00,261.24,268.45,268.45,"1,997,800"
45,"Feb 12, 2018",232.15,268.72,225.50,267.74,267.74,"2,746,400"
46,"Feb 05, 2018",245.00,245.00,219.13,229.38,229.38,"3,359,200"
47,"Jan 29, 2018",239.00,255.42,219.61,248.20,248.20,"2,502,900"
48,"Jan 22, 2018",229.23,239.10,226.83,238.89,238.89,"1,271,500"
49,"Jan 15, 2018",216.69,229.05,216.00,228.29,228.29,"1,605,300"
50,"Jan 08, 2018",208.24,216.15,204.67,215.11,215.11,"1,288,000"
51,"Jan 01, 2018",188.13,202.96,188.05,202.32,202.32,"1,020,600"
52,"Dec 25, 2017",191.31,191.62,187.01,187.41,187.41,"682,300"
53,"Dec 18, 2017",190.01,195.65,189.05,191.64,191.64,"951,700"
54,"Dec 11, 2017",191.36,195.13,188.14,188.71,188.71,"1,311,300"
55,"Dec 04, 2017",196.52,196.54,186.72,191.36,191.36,"1,801,300"
56,"Nov 27, 2017",199.98,200.28,189.26,194.60,194.60,"2,225,200"
57,"Nov 20, 2017",200.00,200.00,195.11,199.74,199.74,"1,128,400"
58,"Nov 13, 2017",193.36,196.48,190.07,194.32,194.32,"1,890,900"
59,"Nov 06, 2017",195.18,198.29,192.62,195.21,195.21,"1,295,300"
60,"Oct 29, 2017",179.56,195.02,177.40,194.90,194.90,"2,266,500"
61,"Oct 22, 2017",174.98,183.96,164.80,181.07,181.07,"3,232,400"
62,"Oct 15, 2017",171.66,175.79,170.10,174.62,174.62,"1,073,700"
63,"Oct 08, 2017",175.59,175.72,170.60,173.85,173.85,"1,302,600"
64,"Oct 01, 2017",168.93,175.60,167.83,174.88,174.88,"1,432,300"
65,"Sep 24, 2017",164.20,171.00,158.71,168.60,168.60,"1,572,500"
66,"Sep 17, 2017",157.93,164.60,155.57,163.96,163.96,"1,342,000"
67,"Sep 10, 2017",157.17,159.80,154.64,158.58,158.58,"1,579,400"
68,"Sep 03, 2017",150.57,157.88,148.80,156.90,156.90,"1,312,900"
69,"Aug 27, 2017",147.80,151.59,144.01,151.06,151.06,"1,696,600"
70,"Aug 20, 2017",152.15,155.59,147.13,147.67,147.67,"1,565,200"
71,"Aug 13, 2017",152.60,156.24,151.95,152.14,152.14,"972,900"
72,"Aug 06, 2017",151.67,157.41,149.88,151.37,151.37,"1,637,100"
73,"Jul 30, 2017",147.02,151.22,144.51,151.01,151.01,"1,601,700"
74,"Jul 23, 2017",144.10,149.34,141.56,146.25,146.25,"2,590,900"
75,"Jul 16, 2017",145.50,145.96,142.82,144.10,144.10,"1,193,200"
76,"Jul 09, 2017",142.12,146.06,140.00,145.07,145.07,"1,216,300"
77,"Jul 02, 2017",144.82,145.50,139.55,142.05,142.05,"730,300"
78,"Jun 25, 2017",144.49,145.40,139.49,143.30,143.30,"1,553,800"
79,"Jun 18, 2017",144.17,147.45,143.54,144.49,144.49,"1,144,100"
80,"Jun 11, 2017",139.94,143.71,134.80,143.39,143.39,"1,637,100"
81,"Jun 04, 2017",141.98,145.58,139.79,141.23,141.23,"1,889,500"
82,"May 28, 2017",138.20,142.49,137.34,141.55,141.55,"1,355,700"
83,"May 21, 2017",134.50,139.02,134.10,138.59,138.59,"1,774,800"
84,"May 14, 2017",131.50,134.91,129.80,134.43,134.43,"1,744,000"
85,"May 07, 2017",132.30,133.97,129.55,131.42,131.42,"1,126,500"
86,"Apr 30, 2017",130.50,134.82,123.60,133.03,133.03,"2,339,400"
87,"Apr 23, 2017",126.19,131.68,126.19,130.32,130.32,"1,261,700"
88,"Apr 16, 2017",122.00,125.90,117.37,125.03,125.03,"1,511,500"
89,"Apr 09, 2017",125.40,126.39,124.27,124.61,124.61,"635,000"
90,"Apr 02, 2017",125.23,126.26,123.28,125.49,125.49,"1,366,100"
91,"Mar 26, 2017",123.70,126.04,122.93,125.20,125.20,"1,573,200"
92,"Mar 19, 2017",123.97,126.00,121.86,124.89,124.89,"1,166,200"
93,"Mar 12, 2017",120.95,124.68,120.25,123.97,123.97,"1,201,100"
94,"Mar 06, 2017",119.28,121.34,118.05,121.21,121.21,"1,182,400"
95,"Feb 27, 2017",117.36,122.18,116.55,120.73,120.73,"1,964,500"
96,"Feb 20, 2017",117.15,118.16,114.28,117.14,117.14,"1,094,700"
97,"Feb 13, 2017",108.04,116.92,107.33,116.57,116.57,"2,323,500"
98,"Feb 06, 2017",105.11,111.82,105.11,108.64,108.64,"2,917,400"
99,"Jan 30, 2017",108.00,108.01,103.53,104.96,104.96,"3,113,400"
