,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",70.38,70.86,69.16,69.75,69.75,"7,256,900"
1,"Dec 14, 2018",71.32,71.50,70.37,70.76,70.76,"5,670,300"
2,"Dec 13, 2018",72.71,73.14,71.58,72.18,72.18,"6,264,900"
3,"Dec 12, 2018",72.81,73.86,72.49,72.53,72.53,"6,883,600"
4,"Dec 11, 2018",71.66,72.54,71.30,71.84,71.84,"7,567,000"
5,"Dec 10, 2018",70.04,71.30,68.79,70.92,70.92,"5,828,600"
6,"Dec 07, 2018",71.75,71.83,69.19,69.95,69.95,"7,945,500"
7,"Dec 06, 2018",70.59,71.54,69.92,71.54,71.54,"10,269,100"
8,"Dec 04, 2018",74.24,74.25,71.43,71.50,71.50,"7,620,100"
9,"Dec 03, 2018",74.29,74.92,73.56,74.27,74.27,"6,430,400"
10,"Nov 30, 2018",73.93,74.23,73.07,74.05,74.05,"8,030,500"
11,"Nov 29, 2018",72.43,73.70,72.37,73.26,73.26,"6,447,700"
12,"Nov 28, 2018",70.10,72.84,70.10,72.83,72.83,"7,915,900"
13,"Nov 27, 2018",68.71,69.75,68.38,69.71,69.71,"6,759,000"
14,"Nov 26, 2018",68.73,69.27,68.45,68.81,68.81,"6,115,000"
15,"Nov 23, 2018",67.94,68.68,67.83,68.11,68.11,"3,262,200"
16,"Nov 21, 2018",69.35,69.72,68.25,68.53,68.53,"5,789,400"
17,"Nov 20, 2018",70.39,70.75,68.86,69.06,69.06,"8,222,500"
18,"Nov 19, 2018",72.00,72.41,70.28,70.54,70.54,"7,224,400"
19,"Nov 16, 2018",70.48,72.33,70.36,72.04,72.04,"9,860,800"
20,"Nov 15, 2018",68.93,70.75,67.94,70.73,70.73,"6,849,000"
21,"Nov 14, 2018",70.10,70.47,68.96,69.41,69.41,"5,400,800"
22,"Nov 13, 2018",70.87,71.18,69.25,69.49,69.49,"6,570,300"
23,"Nov 12, 2018",72.73,72.90,70.40,70.56,70.56,"6,272,700"
24,"Nov 09, 2018",72.88,73.06,72.10,72.79,72.79,"4,247,600"
25,"Nov 08, 2018",72.00,73.08,71.95,72.96,72.96,"4,676,100"
26,"Nov 07, 2018",71.69,72.61,71.58,72.50,72.50,"6,404,500"
27,"Nov 06, 2018",70.33,71.00,70.22,70.96,70.96,"3,676,400"
28,"Nov 05, 2018",70.48,71.00,69.99,70.39,70.39,"8,558,700"
29,"Nov 02, 2018",70.75,71.38,69.59,70.19,70.19,"5,314,600"
30,"Nov 01, 2018",69.09,70.35,68.74,70.15,70.15,"6,250,800"
31,"Oct 31, 2018",68.70,69.91,68.52,68.94,68.94,"7,795,000"
