,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",70.38,70.86,69.16,69.75,69.75,"7,257,458"
1,"Dec 01, 2018",74.29,74.92,68.79,69.75,69.75,"71,736,400"
2,"Oct 31, 2018",69.09,74.23,67.83,74.05,74.05,"133,848,900"
3,"Oct 11, 2018",0.28,Dividend,,,,
4,"Sep 30, 2018",73.81,74.15,65.78,68.94,68.66,"182,684,600"
5,"Aug 31, 2018",66.74,73.58,65.22,73.36,73.06,"109,301,400"
6,"Jul 31, 2018",65.35,67.36,63.07,66.84,66.57,"94,870,900"
7,"Jul 11, 2018",0.28,Dividend,,,,
8,"Jun 30, 2018",60.63,65.90,60.32,65.54,64.98,"108,829,300"
9,"May 31, 2018",61.96,63.85,60.32,60.99,60.47,"106,480,600"
10,"Apr 30, 2018",57.70,62.72,56.81,61.53,61.00,"119,023,800"
11,"Apr 11, 2018",0.28,Dividend,,,,
12,"Mar 31, 2018",59.82,60.15,56.99,58.13,57.36,"136,142,700"
13,"Mar 01, 2018",60.16,63.95,58.43,59.92,59.12,"141,022,100"
14,"Feb 01, 2018",61.75,62.54,55.58,60.33,59.53,"142,631,600"
15,"Jan 10, 2018",0.28,Dividend,,,,
16,"Jan 01, 2018",58.20,64.60,57.82,62.16,61.04,"155,970,200"
17,"Dec 01, 2017",56.30,57.77,54.32,57.07,56.04,"128,810,800"
18,"Oct 31, 2017",53.89,56.52,53.61,56.37,55.36,"110,451,700"
19,"Oct 11, 2017",0.265,Dividend,,,,
20,"Sep 30, 2017",53.64,56.69,53.20,54.23,52.99,"125,041,700"
21,"Aug 31, 2017",51.03,54.80,50.64,53.36,52.14,"125,039,500"
22,"Jul 31, 2017",49.21,51.05,48.05,50.94,49.78,"101,721,800"
23,"Jul 11, 2017",0.265,Dividend,,,,
24,"Jun 30, 2017",48.73,51.13,47.83,49.18,47.80,"114,458,500"
25,"May 31, 2017",45.52,49.59,45.47,48.61,47.24,"160,391,700"
26,"Apr 30, 2017",43.57,45.75,42.88,45.66,44.37,"132,880,600"
27,"Apr 10, 2017",0.265,Dividend,,,,
28,"Mar 31, 2017",44.42,44.61,42.31,43.64,42.15,"135,559,900"
29,"Mar 01, 2017",45.37,45.84,44.26,44.41,42.90,"148,914,700"
30,"Feb 01, 2017",41.51,45.68,41.44,45.08,43.54,"165,448,600"
31,"Jan 10, 2017",0.265,Dividend,,,,
32,"Jan 01, 2017",38.63,41.79,38.34,41.77,40.09,"211,257,800"
33,"Dec 01, 2016",38.12,39.79,37.38,38.41,36.86,"177,221,400"
34,"Oct 31, 2016",39.24,41.53,37.81,38.07,36.54,"180,408,600"
35,"Oct 11, 2016",0.26,Dividend,,,,
36,"Sep 30, 2016",42.06,43.78,39.22,39.24,37.42,"187,747,800"
37,"Aug 31, 2016",41.92,42.53,40.48,42.29,40.33,"161,436,500"
38,"Jul 31, 2016",44.75,45.79,41.93,42.02,40.07,"227,282,000"
39,"Jul 12, 2016",0.26,Dividend,,,,
40,"Jun 30, 2016",39.31,45.16,39.16,44.75,42.42,"219,087,100"
41,"May 31, 2016",39.37,39.64,36.76,39.31,37.26,"224,941,600"
42,"Apr 30, 2016",38.85,39.67,36.89,39.63,37.56,"251,461,600"
43,"Apr 12, 2016",0.26,Dividend,,,,
44,"Mar 31, 2016",41.53,44.58,38.58,38.90,36.65,"180,268,200"
45,"Mar 01, 2016",38.91,42.00,38.09,41.83,39.41,"146,113,300"
46,"Feb 01, 2016",36.17,39.88,36.02,38.74,36.50,"148,100,100"
