,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",70.38,70.86,69.16,69.75,69.75,"7,257,458"
1,"Dec 17, 2018",70.38,70.86,69.16,69.75,69.75,"7,256,900"
2,"Dec 10, 2018",70.04,73.86,68.79,70.76,70.76,"32,214,400"
3,"Dec 03, 2018",74.29,74.92,69.19,69.95,69.95,"32,265,100"
4,"Nov 26, 2018",68.73,74.23,68.38,74.05,74.05,"35,268,100"
5,"Nov 19, 2018",72.00,72.41,67.83,68.11,68.11,"24,498,500"
6,"Nov 12, 2018",72.73,72.90,67.94,72.04,72.04,"34,953,600"
7,"Nov 05, 2018",70.48,73.08,69.99,72.79,72.79,"27,563,300"
8,"Oct 28, 2018",68.00,71.38,66.39,70.19,70.19,"34,885,400"
9,"Oct 21, 2018",67.74,69.20,65.78,66.99,66.99,"39,939,100"
10,"Oct 14, 2018",69.34,71.18,67.23,67.59,67.59,"43,639,100"
11,"Oct 07, 2018",71.58,72.39,67.65,69.33,69.05,"43,255,600"
12,"Sep 30, 2018",73.81,74.15,71.05,71.58,71.29,"32,530,800"
13,"Sep 23, 2018",70.79,73.58,70.32,73.36,73.06,"39,290,100"
14,"Sep 16, 2018",68.42,69.25,67.51,69.05,68.77,"27,065,500"
15,"Sep 09, 2018",66.45,68.82,66.11,68.42,68.14,"20,171,400"
16,"Sep 02, 2018",66.74,67.11,65.22,66.21,65.94,"22,774,400"
17,"Aug 26, 2018",66.45,67.36,66.33,66.84,66.57,"22,068,600"
18,"Aug 19, 2018",65.00,66.26,64.38,66.10,65.83,"22,583,900"
19,"Aug 12, 2018",64.02,64.92,63.07,64.72,64.45,"19,861,800"
20,"Aug 05, 2018",65.09,65.50,63.87,64.03,63.77,"17,542,500"
21,"Jul 29, 2018",64.97,65.77,63.91,65.23,64.96,"23,321,800"
22,"Jul 22, 2018",63.26,65.90,62.87,65.26,64.99,"27,016,200"
23,"Jul 15, 2018",62.95,65.50,61.55,63.32,63.06,"36,886,000"
24,"Jul 08, 2018",62.23,63.44,62.14,63.06,62.52,"20,095,900"
25,"Jul 01, 2018",60.63,62.40,60.32,62.16,61.63,"14,323,500"
26,"Jun 24, 2018",61.70,62.14,60.32,60.99,60.47,"27,026,100"
27,"Jun 17, 2018",62.59,62.87,61.45,61.94,61.41,"22,551,600"
28,"Jun 10, 2018",63.28,63.48,62.26,62.91,62.37,"32,237,700"
29,"Jun 03, 2018",62.32,63.85,62.28,63.27,62.73,"21,087,300"
30,"May 27, 2018",61.58,62.65,60.85,62.41,61.88,"20,791,900"
31,"May 20, 2018",62.00,62.72,60.96,62.37,61.84,"25,168,700"
32,"May 13, 2018",61.50,62.17,60.32,61.71,61.18,"27,143,400"
33,"May 06, 2018",58.99,61.30,58.24,61.26,60.74,"27,097,200"
34,"Apr 29, 2018",59.76,59.80,56.81,58.74,58.24,"28,496,600"
