,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",154.73,154.98,150.88,151.67,151.67,"2,572,100"
1,"Dec 14, 2018",158.33,158.64,155.12,155.53,155.53,"2,336,100"
2,"Dec 13, 2018",159.79,161.09,159.22,160.25,160.25,"2,227,100"
3,"Dec 12, 2018",160.26,161.21,158.53,158.62,158.62,"2,423,400"
4,"Dec 11, 2018",160.00,160.83,157.41,158.30,158.30,"1,786,300"
5,"Dec 10, 2018",157.02,158.65,154.41,157.72,157.72,"2,280,800"
6,"Dec 07, 2018",158.88,160.78,156.24,157.45,157.45,"3,090,000"
7,"Dec 06, 2018",160.71,161.74,156.64,159.25,159.25,"6,012,000"
8,"Dec 04, 2018",166.46,168.37,164.09,164.21,164.21,"3,108,900"
9,"Dec 03, 2018",165.97,167.07,164.68,166.82,166.82,"2,319,800"
10,"Nov 30, 2018",161.77,164.54,160.98,164.52,164.52,"5,832,800"
11,"Nov 29, 2018",162.21,162.46,160.81,161.07,161.07,"2,414,600"
12,"Nov 28, 2018",160.01,162.36,159.29,162.21,162.21,"2,784,000"
13,"Nov 27, 2018",158.04,159.38,157.51,159.11,159.11,"1,930,000"
14,"Nov 26, 2018",158.54,159.48,157.38,158.40,158.40,"2,115,600"
15,"Nov 23, 2018",155.85,157.87,155.25,156.93,156.93,"938,800"
16,"Nov 21, 2018",160.00,160.00,156.74,156.98,156.98,"2,525,600"
17,"Nov 20, 2018",160.20,160.97,157.74,158.90,158.90,"2,224,800"
18,"Nov 19, 2018",164.50,165.94,162.11,162.77,162.77,"2,194,400"
19,"Nov 16, 2018",161.71,165.83,161.69,165.00,165.00,"3,218,500"
20,"Nov 15, 2018",159.92,162.95,159.43,162.49,162.49,"2,561,800"
21,"Nov 14, 2018",163.22,163.40,159.38,160.29,160.29,"2,819,900"
22,"Nov 13, 2018",162.67,163.84,160.93,161.45,161.45,"1,486,700"
23,"Nov 12, 2018",164.52,164.95,162.32,162.44,162.44,"2,263,800"
24,"Nov 09, 2018",164.03,165.65,163.14,165.15,165.15,"1,882,100"
25,"Nov 08, 2018",162.87,164.54,162.87,164.50,164.50,"1,294,400"
26,"Nov 07, 2018",160.00,163.99,159.99,163.87,163.87,"2,278,400"
27,"Nov 06, 2018",158.96,159.97,158.70,159.42,159.42,"1,364,700"
28,"Nov 05, 2018",157.63,158.96,156.73,158.60,158.60,"1,705,200"
29,"Nov 02, 2018",158.94,160.67,155.99,157.39,157.39,"1,998,600"
30,"Nov 01, 2018",157.90,159.21,157.44,158.58,158.58,"1,771,600"
31,"Oct 31, 2018",156.22,159.45,156.03,157.62,157.62,"2,414,900"
32,"Oct 30, 2018",153.44,154.86,152.31,154.62,154.62,"2,296,400"
33,"Oct 29, 2018",156.05,156.64,150.63,152.74,152.74,"1,909,200"
34,"Oct 26, 2018",154.30,156.08,152.86,154.45,154.45,"2,472,500"
35,"Oct 25, 2018",155.40,157.96,154.88,156.92,156.92,"2,313,700"
36,"Oct 24, 2018",157.87,158.44,153.00,153.12,153.12,"2,473,700"
37,"Oct 23, 2018",156.70,159.32,155.58,158.09,158.09,"2,204,000"
38,"Oct 22, 2018",158.09,160.29,157.03,159.55,159.55,"1,958,300"
39,"Oct 19, 2018",156.01,158.65,155.43,158.28,158.28,"2,426,100"
40,"Oct 18, 2018",158.44,158.44,155.17,156.20,156.20,"2,196,000"
41,"Oct 17, 2018",159.15,160.36,157.80,158.90,158.90,"2,687,200"
42,"Oct 16, 2018",159.57,161.88,158.90,161.20,159.74,"2,830,200"
43,"Oct 15, 2018",158.94,159.62,157.84,157.92,156.49,"1,945,100"
44,"Oct 12, 2018",159.59,160.23,157.39,159.44,158.00,"3,376,300"
45,"Oct 11, 2018",161.12,161.54,155.11,156.00,154.59,"4,752,800"
46,"Oct 10, 2018",168.50,168.63,161.58,161.74,160.28,"2,972,300"
47,"Oct 09, 2018",169.21,169.88,168.11,168.80,167.27,"2,027,900"
