,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",154.73,154.98,150.88,151.67,151.67,"2,755,024"
1,"Dec 01, 2018",165.97,168.37,150.88,151.67,151.67,"28,156,500"
2,"Oct 31, 2018",157.90,165.94,155.25,164.52,164.52,"47,606,300"
3,"Oct 16, 2018",1.46,Dividend,,,,
4,"Sep 30, 2018",171.14,174.82,150.63,157.62,156.19,"53,970,000"
5,"Aug 31, 2018",168.76,175.64,167.50,170.20,168.66,"40,698,200"
6,"Jul 31, 2018",160.31,169.92,157.84,169.07,167.54,"37,590,000"
7,"Jun 30, 2018",161.90,168.95,158.08,159.33,157.89,"42,665,600"
8,"May 31, 2018",156.94,165.56,155.30,163.59,162.11,"57,775,600"
9,"Apr 30, 2018",151.09,157.65,149.14,155.74,154.33,"36,823,100"
10,"Apr 10, 2018",1.33,Dividend,,,,
11,"Mar 31, 2018",151.82,155.70,146.05,151.20,148.52,"42,164,300"
12,"Mar 01, 2018",161.28,164.30,147.16,153.50,150.78,"66,273,100"
13,"Feb 01, 2018",160.16,165.58,148.79,161.01,158.16,"43,864,100"
14,"Jan 01, 2018",153.50,162.60,152.78,160.70,157.85,"42,188,200"
15,"Dec 01, 2017",147.70,158.44,145.75,153.09,150.38,"40,816,400"
16,"Oct 31, 2017",142.26,148.60,141.47,148.01,145.39,"34,120,000"
17,"Oct 17, 2017",1.33,Dividend,,,,
18,"Sep 30, 2017",135.23,143.78,133.66,142.36,138.50,"41,387,500"
19,"Aug 31, 2017",130.95,138.70,129.10,135.07,131.40,"50,820,700"
20,"Jul 31, 2017",129.10,130.92,127.26,130.76,127.21,"34,600,500"
21,"Jun 30, 2017",123.82,129.70,122.03,128.82,125.32,"33,694,900"
22,"May 31, 2017",124.93,128.47,119.10,123.68,120.32,"56,422,800"
23,"Apr 30, 2017",121.37,124.60,119.41,124.47,121.09,"40,493,000"
24,"Apr 10, 2017",1.21,Dividend,,,,
25,"Mar 31, 2017",118.00,121.35,114.82,121.30,116.80,"42,329,500"
26,"Mar 01, 2017",123.24,126.53,118.30,119.88,115.43,"65,634,500"
27,"Feb 01, 2017",113.80,123.43,112.31,122.50,117.95,"38,174,000"
28,"Jan 01, 2017",117.38,118.36,112.61,113.87,109.64,"52,903,500"
29,"Dec 01, 2016",119.50,125.72,116.09,117.13,112.78,"49,326,700"
30,"Oct 31, 2016",116.50,121.53,114.66,119.43,114.99,"54,922,800"
31,"Oct 18, 2016",1.21,Dividend,,,,
32,"Sep 30, 2016",121.59,122.47,114.51,116.24,110.77,"49,981,000"
33,"Aug 31, 2016",114.75,124.96,108.83,122.17,116.42,"58,680,100"
34,"Jul 31, 2016",112.58,116.20,111.73,115.00,109.59,"42,254,000"
35,"Jun 30, 2016",113.66,118.00,111.33,112.81,107.50,"43,789,100"
36,"May 31, 2016",118.97,120.78,108.66,113.29,107.96,"50,791,400"
37,"Apr 30, 2016",112.90,119.72,112.25,118.97,113.37,"37,869,000"
38,"Apr 12, 2016",1.1,Dividend,,,,
39,"Mar 31, 2016",114.76,116.52,111.79,112.92,106.57,"49,554,800"
40,"Mar 01, 2016",101.38,116.51,101.00,115.40,108.91,"68,405,700"
41,"Feb 01, 2016",104.75,106.80,91.40,100.26,94.62,"72,139,000"
42,"Jan 01, 2016",102.62,105.65,97.14,105.54,99.61,"66,080,100"
43,"Dec 01, 2015",107.29,109.65,101.91,104.50,98.63,"54,942,500"
44,"Oct 31, 2015",107.08,108.43,103.02,107.22,101.19,"46,891,900"
45,"Oct 13, 2015",1.1,Dividend,,,,
46,"Sep 30, 2015",98.47,109.86,96.31,107.20,100.10,"55,459,300"
47,"Aug 31, 2015",91.88,99.94,91.68,98.26,91.75,"59,946,500"
48,"Jul 31, 2015",103.17,105.37,88.43,94.27,88.02,"56,961,700"
49,"Jun 30, 2015",97.74,103.99,96.31,103.11,96.28,"48,475,700"
50,"May 31, 2015",96.18,100.47,94.25,96.78,90.37,"49,597,500"
51,"Apr 30, 2015",93.32,97.95,92.59,96.04,89.68,"39,457,200"
52,"Apr 07, 2015",1.02,Dividend,,,,
53,"Apr 01, 2015",1.02,Dividend,,,,
54,"Mar 31, 2015",93.56,96.78,92.13,92.65,84.66,"48,838,700"
55,"Mar 01, 2015",90.03,94.98,86.40,93.69,85.61,"68,493,200"
56,"Feb 01, 2015",84.42,91.44,83.47,90.03,82.27,"41,471,000"
57,"Jan 01, 2015",89.67,91.34,83.86,84.03,76.79,"54,791,100"
58,"Dec 01, 2014",85.88,91.94,81.66,89.31,81.61,"62,619,800"
59,"Oct 31, 2014",81.03,86.49,80.67,86.33,78.89,"43,764,800"
60,"Oct 14, 2014",1.02,Dividend,,,,
61,"Sep 30, 2014",81.18,81.42,73.98,81.12,73.13,"75,168,600"
62,"Aug 31, 2014",80.95,82.16,77.56,81.32,73.32,"67,907,500"
63,"Jul 31, 2014",78.85,81.99,76.87,81.06,73.08,"42,921,000"
64,"Jun 30, 2014",81.09,81.69,78.85,79.28,71.48,"50,873,500"
65,"May 31, 2014",81.10,84.56,79.77,80.84,72.88,"60,237,800"
66,"Apr 30, 2014",80.18,81.49,77.71,81.45,73.43,"42,588,900"
67,"Apr 08, 2014",0.93,Dividend,,,,
68,"Mar 31, 2014",79.60,80.39,76.36,80.22,71.46,"71,963,300"
69,"Mar 01, 2014",82.56,84.69,76.25,79.72,71.02,"69,509,700"
70,"Feb 01, 2014",80.02,84.75,77.42,83.35,74.25,"47,342,400"
71,"Jan 01, 2014",81.50,85.88,78.82,79.88,71.16,"70,394,800"
72,"Dec 01, 2013",-,-,-,-,-,-
