,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",154.73,154.98,150.88,151.67,151.67,"2,755,024"
1,"Dec 17, 2018",154.73,154.98,150.88,151.67,151.67,"2,572,100"
2,"Dec 10, 2018",157.02,161.21,154.41,155.53,155.53,"11,053,700"
3,"Dec 03, 2018",165.97,168.37,156.24,157.45,157.45,"14,530,700"
4,"Nov 26, 2018",158.54,164.54,157.38,164.52,164.52,"15,088,900"
5,"Nov 19, 2018",164.50,165.94,155.25,156.93,156.93,"7,883,600"
6,"Nov 12, 2018",164.52,165.83,159.38,165.00,165.00,"12,350,700"
7,"Nov 05, 2018",157.63,165.65,156.73,165.15,165.15,"8,524,800"
8,"Oct 28, 2018",156.05,160.67,150.63,157.39,157.39,"10,390,700"
9,"Oct 21, 2018",158.09,160.29,152.86,154.45,154.45,"11,422,200"
10,"Oct 14, 2018",158.94,161.88,155.17,158.28,156.85,"12,084,600"
11,"Oct 07, 2018",170.34,171.74,155.11,159.44,158.00,"14,822,900"
12,"Sep 30, 2018",171.14,174.82,170.11,171.23,169.68,"9,019,800"
13,"Sep 23, 2018",173.06,174.55,168.70,170.20,168.66,"12,175,800"
14,"Sep 16, 2018",171.45,175.64,170.76,174.19,172.61,"11,942,300"
15,"Sep 09, 2018",169.86,172.51,169.23,171.64,170.09,"9,394,600"
16,"Sep 02, 2018",168.76,169.92,167.50,169.07,167.54,"7,185,500"
17,"Aug 26, 2018",166.78,169.92,166.14,169.07,167.54,"8,729,400"
18,"Aug 19, 2018",165.34,166.79,164.34,165.88,164.38,"6,829,200"
19,"Aug 12, 2018",160.73,165.17,159.76,164.89,163.40,"9,991,800"
20,"Aug 05, 2018",160.27,161.91,159.58,160.68,159.22,"6,725,800"
21,"Jul 29, 2018",162.24,162.42,157.84,160.37,158.92,"10,589,700"
22,"Jul 22, 2018",165.93,168.11,161.11,162.02,160.55,"11,546,000"
23,"Jul 15, 2018",168.15,168.95,165.51,166.52,165.01,"9,209,900"
24,"Jul 08, 2018",165.00,168.50,164.61,168.09,166.57,"8,167,000"
25,"Jul 01, 2018",161.90,165.42,161.30,164.51,163.02,"8,466,800"
26,"Jun 24, 2018",157.99,165.56,155.30,163.59,162.11,"17,661,500"
27,"Jun 17, 2018",162.00,163.37,158.44,159.63,158.18,"12,049,100"
28,"Jun 10, 2018",161.53,164.25,160.64,163.48,162.00,"17,693,200"
29,"Jun 03, 2018",158.65,162.85,158.06,162.17,160.70,"8,566,700"
30,"May 27, 2018",154.96,159.28,152.66,158.89,157.45,"7,924,900"
31,"May 20, 2018",156.02,157.43,154.09,155.99,154.58,"8,283,100"
32,"May 13, 2018",157.32,157.65,153.38,155.31,153.90,"8,490,800"
33,"May 06, 2018",152.95,157.62,151.03,157.08,155.66,"7,853,400"
34,"Apr 29, 2018",153.17,153.96,149.14,153.44,152.05,"7,580,700"
35,"Apr 22, 2018",153.23,154.34,148.43,152.39,151.01,"8,309,900"
36,"Apr 15, 2018",151.45,155.70,150.48,152.41,151.03,"10,644,500"
37,"Apr 08, 2018",148.26,152.74,148.01,150.13,147.47,"9,071,500"
38,"Apr 01, 2018",151.82,152.07,146.05,147.38,144.77,"12,633,700"
39,"Mar 25, 2018",149.00,153.66,147.34,153.50,150.78,"14,004,600"
40,"Mar 18, 2018",160.56,163.72,147.16,147.35,144.74,"19,835,400"
41,"Mar 11, 2018",162.00,164.30,160.42,160.89,158.04,"12,920,900"
42,"Mar 05, 2018",157.17,161.83,156.52,161.51,158.65,"13,546,700"
43,"Feb 26, 2018",163.82,165.58,154.69,157.50,154.71,"11,571,300"
44,"Feb 19, 2018",162.38,163.76,159.91,162.95,160.06,"6,143,200"
45,"Feb 12, 2018",154.67,163.60,153.90,162.66,159.78,"10,769,200"
46,"Feb 05, 2018",156.12,159.27,148.79,153.84,151.11,"17,469,700"
47,"Jan 29, 2018",162.33,162.60,156.63,156.90,154.12,"8,769,300"
48,"Jan 22, 2018",161.21,162.58,160.33,162.55,159.67,"8,585,500"
49,"Jan 15, 2018",160.25,162.50,157.91,161.75,158.88,"8,905,200"
50,"Jan 08, 2018",157.37,160.64,156.84,160.11,157.27,"11,303,700"
51,"Jan 01, 2018",153.50,157.72,152.78,157.67,154.88,"8,500,700"
52,"Dec 25, 2017",153.14,154.58,152.46,153.09,150.38,"5,781,200"
53,"Dec 18, 2017",153.05,158.44,150.99,153.89,151.16,"13,929,800"
54,"Dec 11, 2017",150.55,152.90,149.96,152.66,149.95,"11,009,300"
55,"Dec 04, 2017",147.50,150.59,146.08,150.53,147.86,"8,124,500"
56,"Nov 27, 2017",148.00,148.60,145.23,146.57,143.97,"10,059,700"
57,"Nov 20, 2017",145.37,148.47,144.88,147.63,145.01,"5,200,100"
58,"Nov 13, 2017",143.61,147.28,142.77,145.45,142.87,"9,658,100"
59,"Nov 06, 2017",143.12,145.00,142.29,143.89,141.34,"6,192,400"
60,"Oct 29, 2017",143.39,144.69,141.47,144.04,141.49,"9,381,600"
61,"Oct 22, 2017",139.75,143.61,138.05,143.28,140.74,"9,421,000"
62,"Oct 15, 2017",139.43,139.57,136.84,139.49,135.70,"7,205,200"
63,"Oct 08, 2017",136.25,140.00,136.03,139.20,135.42,"10,023,800"
64,"Oct 01, 2017",135.23,136.97,133.66,136.25,132.55,"10,337,200"
65,"Sep 24, 2017",137.94,138.70,132.27,135.07,131.40,"16,818,600"
66,"Sep 17, 2017",135.49,138.15,135.49,137.90,134.16,"10,799,300"
67,"Sep 10, 2017",134.62,136.95,133.61,135.35,131.68,"13,408,600"
68,"Sep 03, 2017",130.10,134.97,129.10,133.72,130.09,"8,265,900"
69,"Aug 27, 2017",129.71,130.95,128.29,130.10,126.57,"6,851,600"
70,"Aug 20, 2017",127.49,129.78,127.26,129.39,125.88,"6,138,700"
71,"Aug 13, 2017",128.88,130.49,127.27,127.44,123.98,"7,335,900"
72,"Aug 06, 2017",129.83,130.35,128.12,128.20,124.72,"6,175,700"
73,"Jul 30, 2017",128.50,130.67,127.99,130.20,126.67,"11,211,300"
74,"Jul 23, 2017",128.27,129.70,127.31,128.40,124.91,"8,209,400"
75,"Jul 16, 2017",126.77,128.96,125.48,128.85,125.35,"9,343,000"
76,"Jul 09, 2017",124.05,126.96,123.20,126.70,123.26,"8,165,800"
77,"Jul 02, 2017",123.82,124.88,122.03,124.21,120.84,"6,392,300"
78,"Jun 25, 2017",123.15,124.40,122.00,123.68,120.32,"11,542,900"
79,"Jun 18, 2017",128.47,128.47,119.10,122.74,119.41,"20,246,200"
80,"Jun 11, 2017",125.53,128.00,124.50,127.56,124.10,"11,812,800"
81,"Jun 04, 2017",126.00,127.00,124.98,125.82,122.40,"9,152,300"
82,"May 28, 2017",122.61,125.98,122.35,125.74,122.33,"7,697,200"
83,"May 21, 2017",121.60,123.56,120.30,122.89,119.55,"8,251,700"
84,"May 14, 2017",120.96,123.31,119.41,120.98,117.70,"10,389,600"
85,"May 07, 2017",121.10,121.63,119.67,120.96,117.68,"8,157,600"
86,"Apr 30, 2017",121.37,121.71,119.67,121.52,118.22,"9,665,500"
87,"Apr 23, 2017",119.94,121.35,118.40,121.30,118.01,"10,117,100"
88,"Apr 16, 2017",114.88,119.98,114.88,119.23,115.99,"11,714,300"
