,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",226.93,230.63,220.48,221.38,221.38,"6,968,200"
1,"Dec 14, 2018",240.76,240.92,229.91,230.00,230.00,"12,189,400"
2,"Dec 13, 2018",248.15,251.60,245.20,248.08,248.08,"5,395,200"
3,"Dec 12, 2018",249.99,251.56,245.04,245.55,245.55,"4,067,900"
4,"Dec 11, 2018",251.43,251.75,242.78,245.34,245.34,"3,179,400"
5,"Dec 10, 2018",237.46,245.40,237.01,244.09,244.09,"3,194,300"
6,"Dec 07, 2018",248.39,249.26,237.65,238.00,238.00,"3,971,100"
7,"Dec 06, 2018",240.00,250.68,237.96,250.63,250.63,"3,950,600"
8,"Dec 04, 2018",253.22,254.71,244.98,245.82,245.82,"4,041,700"
9,"Dec 03, 2018",260.71,260.72,251.82,255.26,255.26,"4,286,200"
10,"Nov 30, 2018",250.23,251.57,247.09,250.89,250.89,"5,156,700"
11,"Nov 29, 2018",246.36,252.25,244.31,249.09,249.09,"3,723,500"
12,"Nov 28, 2018",237.90,250.41,237.74,249.21,249.21,"6,447,100"
13,"Nov 27, 2018",230.77,232.78,228.68,232.25,232.25,"2,882,400"
14,"Nov 26, 2018",229.19,233.30,227.91,231.96,231.96,"3,603,700"
15,"Nov 23, 2018",222.71,227.74,222.51,225.56,225.56,"1,691,000"
16,"Nov 21, 2018",225.33,228.99,222.24,225.98,225.98,"4,846,400"
17,"Nov 20, 2018",209.41,222.84,207.02,219.73,219.73,"6,180,500"
18,"Nov 19, 2018",237.50,238.65,218.72,219.69,219.69,"7,642,200"
19,"Nov 16, 2018",239.52,240.14,235.37,238.89,238.89,"2,897,400"
20,"Nov 15, 2018",233.98,241.43,231.33,239.95,239.95,"3,383,500"
21,"Nov 14, 2018",242.16,242.91,231.91,235.22,235.22,"3,261,300"
22,"Nov 13, 2018",238.38,243.00,235.85,238.74,238.74,"4,017,100"
23,"Nov 12, 2018",244.14,244.80,235.36,236.67,236.67,"3,498,300"
24,"Nov 09, 2018",247.56,248.29,241.16,244.84,244.84,"2,765,900"
25,"Nov 08, 2018",253.31,254.13,247.74,249.96,249.96,"2,389,300"
26,"Nov 07, 2018",244.80,253.96,243.81,253.43,253.43,"3,790,600"
27,"Nov 06, 2018",240.48,244.64,237.76,240.56,240.56,"2,446,700"
28,"Nov 05, 2018",240.00,241.00,233.62,239.89,239.89,"3,224,100"
29,"Nov 02, 2018",246.57,247.47,237.80,239.64,239.64,"4,335,300"
30,"Nov 01, 2018",245.69,247.55,241.49,245.28,245.28,"3,192,200"
31,"Oct 31, 2018",245.41,249.60,243.67,245.76,245.76,"4,423,000"
32,"Oct 30, 2018",238.99,242.50,231.70,238.41,238.41,"5,626,800"
33,"Oct 29, 2018",250.67,254.53,233.40,239.75,239.75,"4,725,000"
34,"Oct 26, 2018",243.85,252.18,241.41,245.80,245.80,"4,505,800"
35,"Oct 25, 2018",242.17,253.59,241.66,252.92,252.92,"5,283,600"
36,"Oct 24, 2018",250.61,254.60,238.23,238.44,238.44,"4,859,500"
37,"Oct 23, 2018",246.19,254.91,242.56,251.76,251.76,"5,006,300"
38,"Oct 22, 2018",246.00,251.64,242.80,251.06,251.06,"3,487,000"
39,"Oct 19, 2018",252.73,252.89,243.64,245.03,245.03,"4,070,600"
40,"Oct 18, 2018",256.19,257.21,246.01,250.35,250.35,"5,378,900"
41,"Oct 17, 2018",261.21,261.89,255.26,258.91,258.91,"4,405,100"
