,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",226.93,230.63,220.49,221.38,221.38,"7,059,515"
1,"Dec 01, 2018",260.71,260.72,220.48,221.38,221.38,"51,244,000"
2,"Oct 31, 2018",245.69,254.13,207.02,250.89,250.89,"81,375,200"
3,"Sep 30, 2018",271.76,277.03,231.70,245.76,245.76,"106,809,200"
4,"Aug 31, 2018",263.67,277.61,254.54,269.95,269.95,"60,666,000"
5,"Jul 31, 2018",245.00,269.96,243.71,263.51,263.51,"54,730,400"
6,"Jun 30, 2018",241.05,263.83,239.60,244.68,244.68,"53,726,000"
7,"May 31, 2018",250.55,258.91,235.87,243.81,243.81,"77,857,200"
8,"Apr 30, 2018",220.77,251.52,218.74,249.28,249.28,"50,215,000"
9,"Mar 31, 2018",214.81,233.17,207.22,221.60,221.60,"56,221,000"
10,"Mar 01, 2018",210.32,231.34,201.76,216.08,216.08,"80,346,400"
11,"Feb 01, 2018",199.12,213.44,179.34,209.13,209.13,"51,744,400"
12,"Jan 01, 2018",175.85,204.45,175.26,199.76,199.76,"55,240,300"
13,"Dec 01, 2017",179.51,182.00,165.68,175.24,175.24,"64,957,400"
14,"Oct 31, 2017",176.59,186.27,174.70,181.47,181.47,"43,738,500"
15,"Sep 30, 2017",149.79,177.58,146.60,175.16,175.16,"73,794,000"
16,"Aug 31, 2017",155.76,157.89,143.95,149.18,149.18,"55,085,000"
17,"Jul 31, 2017",147.48,155.36,144.18,155.16,155.16,"34,444,400"
18,"Jun 30, 2017",141.73,150.40,138.31,146.49,146.49,"35,499,400"
19,"May 31, 2017",141.64,147.45,131.20,141.44,141.44,"75,808,700"
20,"Apr 30, 2017",134.30,143.48,130.82,141.86,141.86,"49,212,200"
21,"Mar 31, 2017",129.59,134.25,128.21,133.74,133.74,"38,277,400"
22,"Mar 01, 2017",119.24,130.69,118.38,130.13,130.13,"61,396,600"
23,"Feb 01, 2017",113.31,120.17,112.27,118.34,118.34,"38,522,300"
24,"Jan 01, 2017",103.43,114.57,102.81,113.38,113.38,"49,106,800"
25,"Dec 01, 2016",102.82,107.80,98.00,102.95,102.95,"61,757,300"
26,"Oct 31, 2016",107.79,109.16,101.66,102.81,102.81,"57,226,400"
27,"Sep 30, 2016",108.41,111.09,106.53,107.51,107.51,"35,119,200"
28,"Aug 31, 2016",102.23,109.76,97.87,108.54,108.54,"65,667,200"
29,"Jul 31, 2016",97.75,102.75,95.42,102.31,102.31,"37,640,700"
30,"Jun 30, 2016",95.04,98.89,94.06,97.86,97.86,"38,596,400"
31,"May 31, 2016",99.24,100.40,90.35,95.79,95.79,"70,861,700"
32,"Apr 30, 2016",94.29,100.56,92.55,99.47,99.47,"41,915,700"
33,"Mar 31, 2016",93.33,97.69,92.22,94.22,94.22,"51,704,900"
34,"Mar 01, 2016",85.92,98.00,83.17,93.80,93.80,"92,259,100"
35,"Feb 01, 2016",88.16,90.24,71.27,85.15,85.15,"94,675,400"
36,"Jan 01, 2016",91.77,92.85,82.70,89.13,89.13,"64,424,400"
37,"Dec 01, 2015",92.01,96.42,88.51,93.94,93.94,"62,772,300"
38,"Oct 31, 2015",89.03,92.66,88.00,91.46,91.46,"38,704,300"
39,"Sep 30, 2015",82.42,89.70,79.02,88.66,88.66,"85,437,000"
40,"Aug 31, 2015",77.07,85.99,75.54,82.22,82.22,"87,158,000"
41,"Jul 31, 2015",82.18,87.25,71.33,78.57,78.57,"66,401,500"
42,"Jun 30, 2015",81.57,82.82,78.94,81.99,81.99,"64,725,600"
43,"May 31, 2015",79.50,84.36,76.95,81.01,81.01,"69,707,100"
44,"Apr 30, 2015",76.29,80.74,73.96,79.09,79.09,"41,848,400"
45,"Mar 31, 2015",73.61,77.29,72.78,76.06,76.06,"43,551,500"
46,"Mar 01, 2015",79.14,79.99,72.12,73.94,73.94,"62,492,700"
47,"Feb 01, 2015",70.44,80.30,69.04,79.10,79.10,"36,056,400"
48,"Jan 01, 2015",72.70,74.40,68.98,70.13,70.13,"44,898,500"
49,"Dec 01, 2014",73.64,77.56,69.66,72.70,72.70,"78,385,800"
50,"Oct 31, 2014",69.93,74.10,69.66,73.68,73.68,"50,942,600"
51,"Sep 30, 2014",69.13,70.25,58.51,70.12,70.12,"81,831,000"
52,"Aug 31, 2014",72.06,73.58,65.79,69.19,69.19,"73,787,200"
53,"Jul 31, 2014",69.01,72.57,67.57,71.90,71.90,"44,969,000"
54,"Jun 30, 2014",72.09,73.99,69.01,69.25,69.25,"49,992,100"
55,"May 31, 2014",64.54,74.69,63.49,72.36,72.36,"72,609,400"
56,"Apr 30, 2014",61.69,65.82,57.15,64.54,64.54,"62,379,900"
57,"Mar 31, 2014",65.90,66.31,59.62,61.69,61.69,"92,738,800"
58,"Mar 01, 2014",68.06,70.24,63.05,65.74,65.74,"93,606,000"
59,"Feb 01, 2014",59.08,71.11,57.32,68.63,68.63,"77,966,000"
60,"Jan 01, 2014",59.06,61.98,57.86,59.19,59.19,"67,724,200"
61,"Dec 01, 2013",-,-,-,-,-,-
