,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",226.93,230.63,220.49,221.38,221.38,"7,059,515"
1,"Dec 17, 2018",226.93,230.63,220.48,221.38,221.38,"6,968,200"
2,"Dec 10, 2018",237.46,251.75,229.91,230.00,230.00,"28,026,200"
3,"Dec 03, 2018",260.71,260.72,237.65,238.00,238.00,"16,249,600"
4,"Nov 26, 2018",229.19,252.25,227.91,250.89,250.89,"21,778,400"
5,"Nov 19, 2018",237.50,238.65,207.02,225.56,225.56,"20,360,100"
6,"Nov 12, 2018",244.14,244.80,231.33,238.89,238.89,"17,057,600"
7,"Nov 05, 2018",240.00,254.13,233.62,244.84,244.84,"14,616,600"
8,"Oct 28, 2018",250.67,254.53,231.70,239.64,239.64,"22,302,300"
9,"Oct 21, 2018",246.00,254.91,238.23,245.80,245.80,"23,142,200"
10,"Oct 14, 2018",248.34,261.89,238.00,245.03,245.03,"27,640,600"
11,"Oct 07, 2018",261.84,263.46,234.72,248.87,248.87,"24,838,800"
12,"Sep 30, 2018",271.76,277.03,258.31,263.22,263.22,"16,412,800"
13,"Sep 23, 2018",260.00,272.42,257.07,269.95,269.95,"11,464,500"
14,"Sep 16, 2018",275.00,275.78,260.24,260.88,260.88,"17,313,400"
15,"Sep 09, 2018",264.27,277.61,260.79,274.69,274.69,"19,821,500"
16,"Sep 02, 2018",263.67,266.93,254.54,260.87,260.87,"12,066,600"
17,"Aug 26, 2018",263.00,269.96,259.39,263.51,263.51,"12,809,100"
18,"Aug 19, 2018",246.08,263.39,246.00,261.51,261.51,"13,812,200"
19,"Aug 12, 2018",254.16,256.60,243.71,245.70,245.70,"11,542,300"
20,"Aug 05, 2018",252.74,255.75,251.50,253.70,253.70,"8,886,100"
21,"Jul 29, 2018",254.42,254.76,240.10,253.28,253.28,"16,117,000"
22,"Jul 22, 2018",257.66,263.83,253.05,254.81,254.81,"11,936,000"
23,"Jul 15, 2018",258.63,260.94,250.71,257.54,257.54,"11,556,100"
24,"Jul 08, 2018",249.90,259.51,245.85,258.59,258.59,"12,609,400"
25,"Jul 01, 2018",241.05,248.72,239.60,248.19,248.19,"9,188,200"
26,"Jun 24, 2018",240.15,245.49,235.87,243.81,243.81,"17,065,100"
27,"Jun 17, 2018",250.52,256.77,243.26,243.63,243.63,"16,638,500"
28,"Jun 10, 2018",251.76,258.91,247.52,251.82,251.82,"24,643,300"
29,"Jun 03, 2018",252.85,254.72,244.03,251.21,251.21,"16,743,800"
30,"May 27, 2018",242.99,251.83,240.38,251.31,251.31,"10,962,700"
31,"May 20, 2018",239.85,245.90,236.00,243.56,243.56,"12,280,400"
32,"May 13, 2018",242.00,243.34,233.00,238.09,238.09,"10,223,400"
33,"May 06, 2018",229.54,241.93,228.75,241.88,241.88,"11,347,600"
34,"Apr 29, 2018",223.27,229.39,218.74,228.51,228.51,"9,933,700"
35,"Apr 22, 2018",226.39,229.15,213.25,221.90,221.90,"12,273,900"
36,"Apr 15, 2018",226.08,233.17,222.95,225.24,225.24,"12,820,500"
37,"Apr 08, 2018",220.08,228.95,218.82,224.06,224.06,"11,323,800"
38,"Apr 01, 2018",214.81,228.80,207.22,218.61,218.61,"18,036,500"
39,"Mar 25, 2018",218.83,230.98,209.04,216.08,216.08,"18,214,100"
40,"Mar 18, 2018",224.48,231.34,214.78,215.02,215.02,"20,326,300"
41,"Mar 11, 2018",222.97,228.88,217.60,225.55,225.55,"24,546,500"
42,"Mar 05, 2018",208.75,221.27,206.92,221.11,221.11,"12,002,600"
43,"Feb 26, 2018",211.29,213.44,201.76,209.79,209.79,"12,363,300"
44,"Feb 19, 2018",200.46,209.78,199.18,209.74,209.74,"8,657,000"
45,"Feb 12, 2018",189.00,203.90,188.56,201.56,201.56,"11,734,300"
46,"Feb 05, 2018",194.06,198.46,179.34,187.99,187.99,"19,066,800"
