,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",15.96,15.96,14.75,14.88,14.88,"10,098,600"
1,"Dec 14, 2018",15.76,15.96,15.73,15.95,15.95,"6,789,800"
2,"Dec 13, 2018",15.93,15.93,15.71,15.78,15.78,"4,633,300"
3,"Dec 12, 2018",15.97,16.02,15.84,15.89,15.89,"7,201,100"
4,"Dec 11, 2018",15.89,15.93,15.60,15.74,15.74,"7,325,800"
5,"Dec 10, 2018",15.50,15.79,15.49,15.77,15.77,"6,072,200"
6,"Dec 07, 2018",15.49,15.63,15.41,15.53,15.53,"3,844,500"
7,"Dec 06, 2018",15.34,15.51,15.04,15.45,15.45,"7,542,200"
8,"Dec 04, 2018",15.61,15.76,15.44,15.46,15.46,"7,138,100"
9,"Dec 03, 2018",15.59,15.70,15.52,15.60,15.60,"5,589,200"
10,"Nov 30, 2018",15.44,15.52,15.36,15.49,15.49,"7,152,000"
11,"Nov 29, 2018",15.54,15.55,15.39,15.44,15.44,"4,800,800"
12,"Nov 28, 2018",15.31,15.54,15.31,15.51,15.51,"7,985,600"
13,"Nov 27, 2018",15.33,15.43,15.18,15.22,15.22,"6,403,300"
14,"Nov 26, 2018",15.04,15.41,15.04,15.40,15.40,"5,690,100"
15,"Nov 23, 2018",15.03,15.10,14.96,15.00,15.00,"1,296,700"
16,"Nov 21, 2018",14.91,15.12,14.67,15.07,15.07,"7,286,000"
17,"Nov 20, 2018",15.35,15.40,14.88,14.90,14.90,"5,361,500"
18,"Nov 19, 2018",15.48,15.55,15.32,15.38,15.38,"5,560,000"
19,"Nov 16, 2018",15.59,15.63,15.37,15.51,15.51,"6,505,200"
20,"Nov 15, 2018",15.24,15.48,15.13,15.42,15.42,"6,866,700"
21,"Nov 14, 2018",15.43,15.49,15.21,15.24,15.24,"8,214,500"
22,"Nov 13, 2018",15.55,15.57,15.32,15.41,15.41,"3,846,000"
23,"Nov 12, 2018",15.52,15.73,15.51,15.52,15.52,"4,366,200"
24,"Nov 09, 2018",15.56,15.64,15.40,15.52,15.52,"4,191,600"
25,"Nov 08, 2018",15.63,15.74,15.44,15.67,15.67,"4,322,200"
26,"Nov 07, 2018",16.09,16.28,15.55,15.60,15.60,"8,263,100"
27,"Nov 06, 2018",14.85,16.04,14.80,16.01,16.01,"10,947,900"
28,"Nov 05, 2018",14.66,15.09,14.62,15.07,15.07,"9,114,000"
29,"Nov 02, 2018",14.74,14.84,14.59,14.60,14.60,"6,687,900"
30,"Nov 01, 2018",14.61,14.76,14.47,14.74,14.74,"4,214,000"
31,"Oct 31, 2018",14.68,14.80,14.56,14.58,14.58,"9,375,800"
32,"Oct 30, 2018",14.52,14.85,14.51,14.82,14.69,"7,849,300"
33,"Oct 29, 2018",14.66,14.77,14.39,14.52,14.39,"4,884,900"
34,"Oct 26, 2018",14.67,14.72,14.42,14.55,14.42,"6,645,600"
35,"Oct 25, 2018",14.68,14.79,14.54,14.71,14.58,"7,673,700"
36,"Oct 24, 2018",14.85,14.96,14.67,14.67,14.54,"7,718,700"
37,"Oct 23, 2018",14.95,15.02,14.56,14.72,14.59,"8,080,900"
38,"Oct 22, 2018",15.02,15.14,14.99,15.01,14.88,"4,684,500"
39,"Oct 19, 2018",14.88,15.04,14.84,14.98,14.85,"8,470,400"
40,"Oct 18, 2018",15.05,15.13,14.71,14.80,14.67,"7,601,100"
41,"Oct 17, 2018",15.38,15.39,15.05,15.08,14.95,"5,120,400"
42,"Oct 16, 2018",14.87,15.38,14.85,15.36,15.23,"7,945,700"
43,"Oct 15, 2018",14.77,15.01,14.74,14.84,14.71,"4,671,500"
44,"Oct 12, 2018",14.46,14.68,14.37,14.65,14.52,"6,177,200"
45,"Oct 11, 2018",14.87,14.97,14.31,14.44,14.31,"7,313,100"
46,"Oct 10, 2018",14.74,15.11,14.73,14.78,14.65,"7,697,200"
47,"Oct 09, 2018",14.80,14.86,14.71,14.82,14.69,"7,623,900"
48,"Oct 08, 2018",14.72,14.82,14.63,14.77,14.64,"6,298,200"
49,"Oct 05, 2018",14.56,14.71,14.50,14.66,14.53,"5,965,400"
50,"Oct 04, 2018",14.52,14.53,14.31,14.51,14.38,"4,890,800"
51,"Oct 03, 2018",14.49,14.73,14.35,14.53,14.40,"8,214,700"
52,"Oct 02, 2018",14.13,14.49,14.12,14.43,14.30,"8,300,000"
53,"Oct 01, 2018",13.99,14.14,13.88,14.05,13.93,"7,027,300"
54,"Sep 28, 2018",13.70,14.01,13.68,14.00,13.88,"5,578,200"
55,"Sep 27, 2018",13.62,13.77,13.55,13.70,13.58,"4,194,500"
56,"Sep 26, 2018",13.77,13.77,13.54,13.61,13.49,"5,492,700"
57,"Sep 25, 2018",13.69,13.79,13.49,13.70,13.58,"10,257,900"
58,"Sep 24, 2018",13.96,14.01,13.74,13.76,13.64,"5,382,800"
59,"Sep 21, 2018",13.82,14.01,13.78,13.96,13.84,"8,521,700"
60,"Sep 20, 2018",13.64,13.86,13.49,13.81,13.69,"5,128,900"
61,"Sep 19, 2018",13.77,13.77,13.55,13.59,13.47,"8,376,600"
62,"Sep 18, 2018",13.64,13.84,13.57,13.75,13.63,"7,925,500"
63,"Sep 17, 2018",13.56,13.68,13.50,13.64,13.52,"5,282,900"
64,"Sep 14, 2018",13.40,13.64,13.39,13.55,13.43,"6,918,000"
65,"Sep 13, 2018",13.23,13.49,13.18,13.45,13.33,"8,968,300"
66,"Sep 12, 2018",13.12,13.26,13.03,13.23,13.11,"8,296,100"
67,"Sep 11, 2018",13.17,13.23,13.00,13.08,12.97,"9,088,300"
68,"Sep 10, 2018",13.18,13.25,13.07,13.22,13.10,"5,441,200"
69,"Sep 07, 2018",13.16,13.24,13.08,13.11,12.99,"4,933,200"
70,"Sep 06, 2018",13.41,13.46,13.26,13.28,13.16,"4,479,800"
71,"Sep 05, 2018",13.19,13.50,13.17,13.41,13.29,"9,487,900"
72,"Sep 04, 2018",13.43,13.53,13.09,13.15,13.03,"10,959,700"
73,"Aug 31, 2018",13.87,13.87,13.40,13.46,13.34,"9,630,300"
74,"Aug 30, 2018",14.00,14.04,13.83,13.90,13.78,"6,190,000"
75,"Aug 29, 2018",14.02,14.10,13.91,14.01,13.89,"5,860,800"
76,"Aug 28, 2018",13.91,13.98,13.84,13.91,13.79,"3,084,500"
77,"Aug 27, 2018",14.06,14.08,13.92,13.96,13.84,"2,827,000"
78,"Aug 24, 2018",14.07,14.09,13.95,14.01,13.89,"3,877,200"
79,"Aug 23, 2018",13.98,14.11,13.96,14.01,13.89,"4,758,900"
80,"Aug 22, 2018",13.95,14.01,13.90,13.99,13.87,"3,528,200"
81,"Aug 21, 2018",13.96,14.02,13.91,13.97,13.85,"3,670,300"
82,"Aug 20, 2018",13.99,14.00,13.89,13.96,13.84,"3,721,800"
83,"Aug 17, 2018",13.76,13.99,13.70,13.94,13.82,"4,541,800"
84,"Aug 16, 2018",13.51,13.93,13.47,13.87,13.75,"7,318,100"
85,"Aug 15, 2018",13.48,13.55,13.40,13.49,13.37,"7,684,800"
86,"Aug 14, 2018",13.42,13.56,13.40,13.50,13.38,"6,105,700"
87,"Aug 13, 2018",13.56,13.58,13.35,13.38,13.26,"5,669,900"
88,"Aug 10, 2018",13.71,13.80,13.55,13.56,13.44,"5,187,700"
89,"Aug 09, 2018",13.95,13.97,13.71,13.74,13.62,"6,558,600"
90,"Aug 08, 2018",13.79,14.00,13.69,13.95,13.83,"7,915,900"
91,"Aug 07, 2018",13.27,13.80,13.23,13.63,13.51,"7,520,700"
92,"Aug 06, 2018",13.75,13.87,13.71,13.82,13.70,"8,094,900"
93,"Aug 03, 2018",13.28,13.74,13.28,13.69,13.57,"8,038,000"
94,"Aug 02, 2018",13.28,13.56,13.27,13.55,13.43,"10,164,800"
95,"Aug 01, 2018",13.36,13.59,13.34,13.47,13.22,"9,492,500"
96,"Jul 31, 2018",13.30,13.46,13.26,13.36,13.11,"10,961,300"
97,"Jul 30, 2018",13.38,13.46,13.29,13.30,13.06,"7,106,900"
