,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",15.76,15.96,14.75,14.88,14.88,"10,098,560"
1,"Dec 17, 2018",15.96,15.96,14.75,14.88,14.88,"10,098,600"
2,"Dec 10, 2018",15.50,16.02,15.49,15.95,15.95,"32,022,200"
3,"Dec 03, 2018",15.59,15.76,15.04,15.53,15.53,"24,114,000"
4,"Nov 26, 2018",15.04,15.55,15.04,15.49,15.49,"32,031,800"
5,"Nov 19, 2018",15.48,15.55,14.67,15.00,15.00,"19,504,200"
6,"Nov 12, 2018",15.52,15.73,15.13,15.51,15.51,"29,798,600"
7,"Nov 05, 2018",14.66,16.28,14.62,15.52,15.52,"36,838,800"
8,"Oct 28, 2018",14.66,14.85,14.39,14.60,14.47,"33,011,900"
9,"Oct 21, 2018",15.02,15.14,14.42,14.55,14.42,"34,803,400"
10,"Oct 14, 2018",14.77,15.39,14.71,14.98,14.85,"33,809,100"
11,"Oct 07, 2018",14.72,15.11,14.31,14.65,14.52,"35,109,600"
12,"Sep 30, 2018",13.99,14.73,13.88,14.66,14.53,"34,398,200"
13,"Sep 23, 2018",13.96,14.01,13.49,14.00,13.88,"30,906,100"
14,"Sep 16, 2018",13.56,14.01,13.49,13.96,13.84,"35,235,600"
15,"Sep 09, 2018",13.18,13.64,13.00,13.55,13.43,"38,711,900"
16,"Sep 02, 2018",13.43,13.53,13.08,13.11,12.99,"29,860,600"
17,"Aug 26, 2018",14.06,14.10,13.40,13.46,13.34,"27,592,600"
18,"Aug 19, 2018",13.99,14.11,13.89,14.01,13.89,"19,556,400"
19,"Aug 12, 2018",13.56,13.99,13.35,13.94,13.82,"31,320,300"
20,"Aug 05, 2018",13.75,14.00,13.23,13.56,13.44,"35,277,800"
21,"Jul 29, 2018",13.38,13.74,13.26,13.69,13.44,"45,763,500"
22,"Jul 22, 2018",13.02,13.58,12.92,13.37,13.12,"34,305,500"
23,"Jul 15, 2018",13.18,13.21,12.71,13.03,12.79,"34,748,400"
24,"Jul 08, 2018",13.00,13.19,12.55,13.18,12.94,"31,720,400"
25,"Jul 01, 2018",13.05,13.18,12.80,13.00,12.76,"22,375,600"
26,"Jun 24, 2018",12.86,13.56,12.77,13.41,13.16,"36,813,000"
27,"Jun 17, 2018",13.05,13.20,12.82,12.86,12.62,"33,993,300"
28,"Jun 10, 2018",12.80,13.35,12.65,13.07,12.83,"33,398,000"
29,"Jun 03, 2018",12.86,13.25,12.47,12.77,12.54,"40,303,900"
30,"May 27, 2018",12.37,12.86,12.30,12.79,12.56,"25,891,900"
31,"May 20, 2018",11.99,12.50,11.94,12.41,12.18,"24,064,300"
32,"May 13, 2018",12.32,12.41,11.80,11.93,11.71,"31,652,900"
33,"May 06, 2018",12.32,12.38,11.66,12.29,12.06,"45,289,300"
34,"Apr 29, 2018",12.21,12.40,12.05,12.33,11.98,"30,673,200"
35,"Apr 22, 2018",11.67,12.45,11.63,12.31,11.96,"34,770,700"
36,"Apr 15, 2018",11.41,11.83,11.36,11.62,11.29,"26,772,800"
37,"Apr 08, 2018",11.42,11.52,11.25,11.34,11.01,"22,348,800"
