,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",20.01,20.02,18.64,18.83,18.83,"115,282,700"
1,"Dec 14, 2018",19.58,20.70,19.52,19.90,19.90,"84,713,600"
2,"Dec 13, 2018",20.63,20.87,19.76,19.86,19.86,"88,108,300"
3,"Dec 12, 2018",20.32,21.02,19.71,20.48,20.48,"100,340,700"
4,"Dec 11, 2018",20.71,21.14,19.69,19.98,19.98,"88,027,400"
5,"Dec 10, 2018",19.35,20.13,19.27,19.99,19.99,"77,984,500"
6,"Dec 07, 2018",21.30,21.38,19.17,19.46,19.46,"105,764,500"
7,"Dec 06, 2018",20.22,21.41,20.06,21.30,21.30,"103,434,700"
8,"Dec 04, 2018",23.35,23.42,21.07,21.12,21.12,"127,392,900"
9,"Dec 03, 2018",22.48,23.75,22.37,23.71,23.71,"139,607,400"
10,"Nov 30, 2018",21.30,21.36,20.52,21.30,21.30,"82,370,700"
11,"Nov 29, 2018",21.19,21.61,20.73,21.43,21.43,"79,853,700"
12,"Nov 28, 2018",21.82,21.88,20.18,21.34,21.34,"134,425,300"
13,"Nov 27, 2018",19.77,21.45,19.73,21.05,21.05,"119,230,100"
14,"Nov 26, 2018",19.96,20.19,19.11,20.08,20.08,"82,965,000"
15,"Nov 23, 2018",18.61,19.83,18.56,19.38,19.38,"54,611,300"
16,"Nov 21, 2018",20.05,20.31,18.50,18.73,18.73,"81,585,600"
17,"Nov 20, 2018",17.40,19.58,17.18,19.21,19.21,"109,869,400"
18,"Nov 19, 2018",20.40,20.59,19.09,19.11,19.11,"93,578,200"
19,"Nov 16, 2018",19.87,20.97,19.72,20.66,20.66,"112,376,600"
20,"Nov 15, 2018",20.72,21.77,20.42,21.49,21.49,"97,715,500"
21,"Nov 14, 2018",20.18,21.11,19.76,20.81,20.81,"106,344,300"
22,"Nov 13, 2018",19.28,20.02,18.97,19.61,19.61,"76,126,000"
23,"Nov 12, 2018",20.68,20.85,18.80,19.03,19.03,"95,948,200"
24,"Nov 09, 2018",20.77,21.19,20.11,21.03,21.03,"85,900,700"
25,"Nov 08, 2018",21.77,22.08,20.97,21.20,21.20,"92,387,600"
26,"Nov 07, 2018",21.42,22.22,21.07,21.84,21.84,"121,115,800"
27,"Nov 06, 2018",19.50,21.65,19.48,20.68,20.68,"144,995,700"
28,"Nov 05, 2018",20.12,20.18,18.88,19.90,19.90,"108,016,700"
29,"Nov 02, 2018",20.59,21.06,19.47,20.23,20.23,"123,788,000"
30,"Nov 01, 2018",18.41,20.33,18.08,20.22,20.22,"136,896,500"
31,"Oct 31, 2018",17.87,18.34,17.12,18.21,18.21,"110,463,700"
32,"Oct 30, 2018",16.38,17.24,16.17,17.20,17.20,"99,049,400"
33,"Oct 29, 2018",18.21,18.23,16.27,16.85,16.85,"94,479,600"
34,"Oct 26, 2018",18.49,18.78,17.05,17.63,17.63,"119,689,000"
35,"Oct 25, 2018",17.92,20.15,17.72,19.27,19.27,"189,173,700"
36,"Oct 24, 2018",25.04,25.10,22.75,22.79,22.79,"134,489,100"
37,"Oct 23, 2018",24.18,25.26,23.85,25.09,25.09,"101,763,000"
38,"Oct 22, 2018",24.46,25.64,24.09,25.03,25.03,"114,158,900"
39,"Oct 19, 2018",27.03,27.10,23.60,23.66,23.66,"130,799,900"
40,"Oct 18, 2018",27.08,27.75,26.40,26.62,26.62,"79,623,700"
41,"Oct 17, 2018",28.41,28.53,26.92,27.30,27.30,"89,466,900"
42,"Oct 16, 2018",26.63,28.23,26.17,28.18,28.18,"92,529,000"
43,"Oct 15, 2018",26.38,26.77,25.75,26.26,26.26,"70,523,500"
44,"Oct 12, 2018",26.77,26.97,25.67,26.34,26.34,"111,059,400"
45,"Oct 11, 2018",24.74,26.20,24.55,25.30,25.30,"147,013,800"
46,"Oct 10, 2018",27.38,27.40,24.91,25.00,25.00,"147,682,900"
47,"Oct 09, 2018",26.15,27.71,26.00,27.24,27.24,"105,461,800"
48,"Oct 08, 2018",26.73,27.54,25.96,26.46,26.46,"103,789,500"
49,"Oct 05, 2018",28.07,28.47,26.93,27.35,27.35,"88,008,500"
50,"Oct 04, 2018",27.99,28.83,27.37,27.78,27.78,"95,831,200"
51,"Oct 03, 2018",29.04,29.22,26.54,28.43,28.43,"190,137,200"
52,"Oct 02, 2018",30.73,30.82,28.65,29.02,29.02,"145,276,500"
53,"Oct 01, 2018",30.69,31.91,30.25,31.42,31.42,"94,742,900"
54,"Sep 28, 2018",32.24,32.78,29.98,30.89,30.89,"165,453,500"
55,"Sep 27, 2018",31.86,32.63,31.39,32.59,32.59,"87,934,400"
56,"Sep 26, 2018",32.40,32.60,31.72,32.19,32.19,"79,347,300"
57,"Sep 25, 2018",33.18,33.60,32.19,32.57,32.57,"118,570,200"
58,"Sep 24, 2018",31.13,32.65,30.91,32.61,32.61,"118,332,600"
59,"Sep 21, 2018",31.19,32.42,30.91,31.02,31.02,"129,792,900"
60,"Sep 20, 2018",32.10,32.20,30.64,31.18,31.18,"123,116,500"
61,"Sep 19, 2018",31.52,31.83,30.51,31.21,31.21,"124,287,000"
62,"Sep 18, 2018",32.99,33.37,31.20,31.93,31.93,"176,673,200"
63,"Sep 17, 2018",31.75,33.23,31.60,32.43,32.43,"180,410,600"
64,"Sep 14, 2018",31.43,33.09,30.54,32.72,32.72,"217,762,800"
65,"Sep 13, 2018",33.16,34.14,29.87,30.48,30.48,"304,147,100"
66,"Sep 12, 2018",29.91,32.29,29.45,32.21,32.21,"197,889,600"
67,"Sep 11, 2018",30.02,30.59,29.37,30.10,30.10,"159,902,500"
68,"Sep 10, 2018",28.15,29.93,27.84,29.89,29.89,"162,253,800"
69,"Sep 07, 2018",26.96,28.27,26.80,27.38,27.38,"123,348,700"
70,"Sep 06, 2018",28.12,28.58,27.19,27.84,27.84,"143,942,900"
71,"Sep 05, 2018",29.41,29.94,26.84,28.51,28.51,"257,349,000"
72,"Sep 04, 2018",25.62,28.11,25.57,28.06,28.06,"192,541,300"
73,"Aug 31, 2018",24.89,25.24,24.72,25.17,25.17,"65,206,400"
