,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",20.01,20.02,18.64,18.83,18.83,"2,580"
1,"Dec 01, 2018",22.48,23.75,18.64,18.83,18.83,"1,030,656,700"
2,"Oct 31, 2018",18.41,22.22,17.18,21.30,21.30,"2,140,100,900"
3,"Sep 30, 2018",30.69,31.91,16.17,18.21,18.21,"2,655,213,100"
4,"Aug 31, 2018",25.62,34.14,25.57,30.89,30.89,"3,063,055,900"
5,"Jul 31, 2018",18.34,27.30,18.00,25.17,25.17,"2,200,853,000"
6,"Jun 30, 2018",14.80,20.18,14.74,18.33,18.33,"1,456,419,400"
7,"May 31, 2018",13.98,17.34,13.92,14.99,14.99,"1,632,030,100"
8,"Apr 30, 2018",10.83,13.95,10.77,13.73,13.73,"1,019,629,700"
9,"Mar 31, 2018",9.99,11.36,9.04,10.88,10.88,"1,163,360,900"
10,"Mar 01, 2018",12.26,12.82,9.79,10.05,10.05,"1,483,511,900"
11,"Feb 01, 2018",13.62,13.84,10.63,12.11,12.11,"1,103,985,800"
12,"Jan 01, 2018",10.42,13.85,10.34,13.74,13.74,"1,335,102,000"
13,"Dec 01, 2017",10.81,11.19,9.70,10.28,10.28,"795,755,000"
14,"Oct 31, 2017",11.25,12.27,10.66,10.89,10.89,"1,039,199,400"
15,"Sep 30, 2017",12.80,14.41,10.65,10.99,10.99,"1,358,068,500"
16,"Aug 31, 2017",13.12,14.24,12.04,12.75,12.75,"1,209,201,600"
17,"Jul 31, 2017",13.72,13.93,11.86,13.02,13.02,"1,321,678,500"
18,"Jun 30, 2017",12.57,15.65,12.13,13.61,13.61,"1,710,461,400"
19,"May 31, 2017",11.25,14.67,10.57,12.48,12.48,"2,207,464,300"
20,"Apr 30, 2017",13.43,13.63,9.85,11.19,11.19,"1,716,437,000"
21,"Mar 31, 2017",14.60,14.74,12.22,13.30,13.30,"943,152,100"
22,"Mar 01, 2017",15.08,15.09,12.38,14.55,14.55,"1,733,593,200"
23,"Feb 01, 2017",10.90,15.55,10.81,14.46,14.46,"1,571,924,900"
24,"Jan 01, 2017",11.42,11.69,9.42,10.37,10.37,"878,497,700"
25,"Dec 01, 2016",8.92,12.42,8.26,11.34,11.34,"1,154,701,900"
26,"Oct 31, 2016",7.32,9.23,6.22,8.91,8.91,"989,930,400"
27,"Sep 30, 2016",6.95,7.53,6.24,7.23,7.23,"869,303,300"
28,"Aug 31, 2016",7.18,7.64,5.66,6.91,6.91,"1,041,758,200"
29,"Jul 31, 2016",6.89,8.00,6.15,7.40,7.40,"606,215,300"
30,"Jun 30, 2016",5.09,7.16,4.82,6.86,6.86,"700,452,300"
31,"May 31, 2016",4.60,5.52,4.07,5.14,5.14,"625,652,400"
32,"Apr 30, 2016",3.58,4.71,3.45,4.57,4.57,"394,407,700"
33,"Mar 31, 2016",2.79,3.99,2.60,3.55,3.55,"472,427,700"
34,"Mar 01, 2016",2.16,2.98,2.12,2.85,2.85,"333,244,400"
35,"Feb 01, 2016",2.17,2.19,1.81,2.14,2.14,"192,344,100"
36,"Jan 01, 2016",2.77,2.82,1.75,2.20,2.20,"355,479,100"
37,"Dec 01, 2015",2.36,3.06,2.20,2.87,2.87,"265,979,100"
38,"Oct 31, 2015",2.13,2.40,1.94,2.36,2.36,"136,460,500"
39,"Sep 30, 2015",1.77,2.21,1.72,2.12,2.12,"205,281,700"
40,"Aug 31, 2015",1.77,2.14,1.65,1.72,1.72,"188,266,200"
41,"Jul 31, 2015",1.93,2.21,1.65,1.78,1.78,"275,230,800"
42,"Jun 30, 2015",2.47,2.63,1.61,1.93,1.93,"406,747,300"
43,"May 31, 2015",2.29,2.67,2.25,2.40,2.40,"389,258,900"
44,"Apr 30, 2015",2.26,2.39,2.20,2.28,2.28,"210,311,500"
45,"Mar 31, 2015",2.66,2.94,2.25,2.26,2.26,"335,079,300"
46,"Mar 01, 2015",3.13,3.23,2.53,2.68,2.68,"269,661,800"
47,"Feb 01, 2015",2.69,3.37,2.65,3.11,3.11,"339,439,800"
48,"Jan 01, 2015",2.67,2.84,2.14,2.57,2.57,"435,076,900"
49,"Dec 01, 2014",2.77,2.82,2.35,2.67,2.67,"303,879,500"
50,"Oct 31, 2014",2.81,2.91,2.59,2.79,2.79,"213,816,500"
51,"Sep 30, 2014",3.39,3.46,2.54,2.80,2.80,"673,408,400"
52,"Aug 31, 2014",4.16,4.25,3.40,3.41,3.41,"372,572,500"
53,"Jul 31, 2014",3.91,4.32,3.87,4.17,4.17,"462,568,300"
54,"Jun 30, 2014",4.21,4.80,3.67,3.91,3.91,"1,077,778,500"
55,"May 31, 2014",4.03,4.50,3.90,4.19,4.19,"431,502,500"
56,"Apr 30, 2014",4.13,4.24,3.85,4.00,4.00,"310,712,200"
57,"Mar 31, 2014",4.04,4.35,3.65,4.09,4.09,"592,512,300"
58,"Mar 01, 2014",3.66,4.14,3.60,4.01,4.01,"451,073,000"
59,"Feb 01, 2014",3.43,3.77,3.29,3.71,3.71,"317,509,100"
60,"Jan 01, 2014",3.85,4.60,3.35,3.43,3.43,"770,422,000"
61,"Dec 01, 2013",-,-,-,-,-,-
