,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",20.01,20.02,18.64,18.83,18.83,"2,580"
1,"Dec 17, 2018",20.01,20.02,18.64,18.83,18.83,"115,282,700"
2,"Dec 10, 2018",19.35,21.14,19.27,19.90,19.90,"439,174,500"
3,"Dec 03, 2018",22.48,23.75,19.17,19.46,19.46,"476,199,500"
4,"Nov 26, 2018",19.96,21.88,19.11,21.30,21.30,"498,844,800"
5,"Nov 19, 2018",20.40,20.59,17.18,19.38,19.38,"339,644,500"
6,"Nov 12, 2018",20.68,21.77,18.80,20.66,20.66,"488,510,600"
7,"Nov 05, 2018",20.12,22.22,18.88,21.03,21.03,"552,416,500"
8,"Oct 28, 2018",18.21,21.06,16.17,20.23,20.23,"564,677,200"
9,"Oct 21, 2018",24.46,25.64,17.05,17.63,17.63,"659,273,700"
10,"Oct 14, 2018",26.38,28.53,23.60,23.66,23.66,"462,943,000"
11,"Oct 07, 2018",26.73,27.71,24.55,26.34,26.34,"615,007,400"
12,"Sep 30, 2018",30.69,31.91,26.54,27.35,27.35,"613,996,300"
13,"Sep 23, 2018",31.13,33.60,29.98,30.89,30.89,"569,638,000"
14,"Sep 16, 2018",31.75,33.37,30.51,31.02,31.02,"734,280,200"
15,"Sep 09, 2018",28.15,34.14,27.84,32.72,32.72,"1,041,955,800"
16,"Sep 02, 2018",25.62,29.94,25.57,27.38,27.38,"717,181,900"
17,"Aug 26, 2018",24.94,27.30,24.01,25.17,25.17,"852,866,500"
18,"Aug 19, 2018",19.79,24.00,19.35,23.98,23.98,"458,387,200"
19,"Aug 12, 2018",19.16,20.28,18.73,19.77,19.77,"387,163,700"
20,"Aug 05, 2018",18.89,19.77,18.46,19.06,19.06,"320,841,200"
21,"Jul 29, 2018",19.40,20.18,18.00,18.49,18.49,"460,821,200"
22,"Jul 22, 2018",16.47,19.88,15.72,18.94,18.94,"540,312,100"
23,"Jul 15, 2018",16.42,17.00,16.41,16.50,16.50,"232,617,900"
24,"Jul 08, 2018",16.73,16.84,16.02,16.27,16.27,"222,964,800"
25,"Jul 01, 2018",14.80,16.39,14.74,16.36,16.36,"181,297,800"
26,"Jun 24, 2018",15.64,15.76,14.54,14.99,14.99,"294,890,800"
27,"Jun 17, 2018",16.18,17.34,15.46,15.80,15.80,"428,036,400"
28,"Jun 10, 2018",15.21,16.79,15.01,16.34,16.34,"428,628,300"
29,"Jun 03, 2018",14.76,15.97,14.31,15.25,15.25,"409,247,200"
30,"May 27, 2018",13.45,14.40,13.26,14.40,14.40,"215,550,900"
31,"May 20, 2018",13.25,13.72,12.71,13.54,13.54,"228,400,900"
32,"May 13, 2018",12.14,13.26,12.11,13.00,13.00,"260,566,900"
33,"May 06, 2018",11.32,12.18,11.30,11.95,11.95,"232,434,000"
34,"Apr 29, 2018",11.06,11.29,10.77,11.28,11.28,"204,513,200"
35,"Apr 22, 2018",10.09,11.36,9.56,11.11,11.11,"398,173,400"
36,"Apr 15, 2018",10.00,10.65,9.90,9.99,9.99,"213,538,500"
37,"Apr 08, 2018",9.75,10.22,9.52,9.93,9.93,"197,121,200"
38,"Apr 01, 2018",9.99,10.20,9.04,9.61,9.61,"303,919,000"
39,"Mar 25, 2018",10.71,10.80,9.79,10.05,10.05,"257,943,300"
40,"Mar 18, 2018",11.41,11.74,10.57,10.63,10.63,"277,905,900"
41,"Mar 11, 2018",11.76,12.04,11.10,11.47,11.47,"442,557,000"
42,"Mar 05, 2018",11.69,12.82,11.55,11.70,11.70,"383,774,800"
43,"Feb 26, 2018",12.14,12.88,11.43,11.81,11.81,"262,958,900"
44,"Feb 19, 2018",11.72,12.19,11.63,12.07,12.07,"158,496,200"
45,"Feb 12, 2018",11.47,12.63,11.43,11.82,11.82,"255,505,200"
46,"Feb 05, 2018",12.05,12.18,10.63,11.31,11.31,"401,380,500"
47,"Jan 29, 2018",13.13,13.85,12.43,12.45,12.45,"445,835,500"
48,"Jan 22, 2018",12.61,13.05,12.32,12.95,12.95,"210,337,800"
49,"Jan 15, 2018",12.05,12.88,11.80,12.59,12.59,"190,407,400"
50,"Jan 08, 2018",12.01,12.30,11.56,12.02,12.02,"263,972,300"
51,"Jan 01, 2018",10.42,12.43,10.34,11.88,11.88,"371,524,900"
52,"Dec 25, 2017",10.38,10.74,10.27,10.28,10.28,"88,648,000"
53,"Dec 18, 2017",10.60,11.19,10.20,10.54,10.54,"211,699,700"
54,"Dec 11, 2017",9.97,10.32,9.88,10.29,10.29,"182,131,300"
55,"Dec 04, 2017",10.85,10.86,9.70,9.94,9.94,"271,147,200"
56,"Nov 27, 2017",11.34,11.74,10.53,10.73,10.73,"255,791,600"
57,"Nov 20, 2017",11.47,11.51,11.19,11.38,11.38,"102,694,200"
58,"Nov 13, 2017",11.18,11.75,10.77,11.38,11.38,"213,414,000"
59,"Nov 06, 2017",12.04,12.27,11.03,11.26,11.26,"350,346,100"
60,"Oct 29, 2017",11.26,11.42,10.65,11.12,11.12,"375,467,400"
61,"Oct 22, 2017",13.94,14.36,11.35,11.84,11.84,"504,767,500"
62,"Oct 15, 2017",14.25,14.35,13.69,13.81,13.81,"168,487,300"
63,"Oct 08, 2017",13.26,14.41,13.26,14.22,14.22,"243,473,000"
64,"Oct 01, 2017",12.80,13.50,12.62,13.23,13.23,"224,955,600"
65,"Sep 24, 2017",13.25,13.28,12.43,12.75,12.75,"282,160,600"
66,"Sep 17, 2017",12.77,14.24,12.74,13.30,13.30,"469,023,900"
67,"Sep 10, 2017",12.46,12.74,12.11,12.52,12.52,"222,527,500"
