,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",47.60,48.42,46.64,47.08,47.08,"8,747,600"
1,"Dec 14, 2018",47.47,48.45,46.97,47.75,47.75,"7,161,400"
2,"Dec 13, 2018",48.75,49.26,47.72,48.51,48.51,"7,755,200"
3,"Dec 12, 2018",49.05,50.22,48.42,48.45,48.45,"11,453,600"
4,"Dec 11, 2018",48.57,48.86,47.72,48.20,48.20,"12,474,100"
5,"Dec 10, 2018",47.23,48.37,46.67,47.88,47.88,"10,970,400"
6,"Dec 07, 2018",47.87,48.77,47.20,47.23,47.23,"18,277,400"
7,"Dec 06, 2018",46.25,48.31,45.50,48.15,48.15,"18,516,900"
8,"Dec 04, 2018",46.66,48.40,46.34,46.52,46.52,"22,495,700"
9,"Dec 03, 2018",51.00,51.44,46.45,46.60,46.60,"30,816,800"
10,"Nov 30, 2018",52.53,52.55,49.26,49.88,49.88,"14,511,900"
11,"Nov 29, 2018",50.64,52.91,50.60,52.56,52.56,"9,367,200"
12,"Nov 28, 2018",51.10,51.21,49.98,51.02,51.02,"8,479,500"
13,"Nov 27, 2018",50.61,50.82,49.80,50.75,50.75,"7,794,700"
14,"Nov 26, 2018",50.69,51.02,49.99,50.91,50.91,"9,295,600"
15,"Nov 23, 2018",50.46,51.00,49.72,50.05,50.05,"5,128,300"
16,"Nov 21, 2018",50.04,51.21,49.86,50.85,50.85,"10,184,700"
17,"Nov 20, 2018",47.77,49.91,46.83,49.26,49.26,"13,801,500"
18,"Nov 19, 2018",50.81,50.87,48.89,49.14,49.14,"13,063,100"
19,"Nov 16, 2018",53.06,53.10,50.86,50.94,50.94,"10,695,700"
20,"Nov 15, 2018",51.41,53.68,51.03,53.56,53.56,"12,304,900"
21,"Nov 14, 2018",53.19,53.49,51.37,51.60,51.60,"9,099,300"
22,"Nov 13, 2018",54.20,54.98,52.39,52.55,52.55,"10,335,700"
23,"Nov 12, 2018",55.00,55.60,53.81,53.89,53.89,"12,803,100"
24,"Nov 09, 2018",55.00,56.92,53.50,55.01,55.01,"34,543,400"
25,"Nov 08, 2018",65.37,65.40,62.35,62.79,62.79,"14,529,700"
26,"Nov 07, 2018",65.26,66.60,64.99,65.09,65.09,"12,766,300"
27,"Nov 06, 2018",64.32,65.98,63.67,64.25,64.25,"9,428,700"
28,"Nov 05, 2018",68.00,68.30,64.00,64.34,64.34,"16,399,200"
29,"Nov 02, 2018",69.95,70.29,68.38,68.99,68.99,"6,102,000"
30,"Nov 01, 2018",69.48,69.73,67.95,69.32,69.32,"5,083,500"
31,"Oct 31, 2018",68.67,70.14,68.12,69.05,69.05,"7,562,000"
32,"Oct 30, 2018",65.69,67.50,65.34,67.48,67.48,"9,243,400"
33,"Oct 29, 2018",70.34,70.34,63.40,65.22,65.22,"11,058,200"
34,"Oct 26, 2018",68.25,70.21,67.59,68.84,68.84,"6,536,300"
35,"Oct 25, 2018",68.02,70.73,67.66,70.32,70.32,"7,177,000"
36,"Oct 24, 2018",69.13,70.09,67.24,67.25,67.25,"11,245,600"
37,"Oct 23, 2018",67.79,69.39,66.71,68.98,68.98,"6,850,900"
38,"Oct 22, 2018",70.10,70.95,69.32,69.78,69.78,"5,976,700"
39,"Oct 19, 2018",72.20,72.76,69.53,69.75,69.75,"10,771,800"
40,"Oct 18, 2018",73.97,74.58,71.22,71.81,71.81,"20,153,400"
41,"Oct 17, 2018",77.35,78.53,76.96,78.30,78.30,"5,319,100"
42,"Oct 16, 2018",76.48,78.98,76.26,78.73,78.73,"7,187,400"
43,"Oct 15, 2018",75.54,76.70,74.05,75.67,75.67,"11,517,500"
44,"Oct 12, 2018",78.40,80.25,76.55,77.92,77.92,"12,696,800"
45,"Oct 11, 2018",73.80,75.64,73.23,73.85,73.85,"7,930,100"
46,"Oct 10, 2018",77.47,77.64,73.43,73.58,73.58,"9,814,300"
47,"Oct 09, 2018",76.88,78.85,76.62,77.64,77.64,"4,617,600"
48,"Oct 08, 2018",79.02,79.25,76.33,77.63,77.63,"6,106,400"
49,"Oct 05, 2018",80.25,81.00,78.66,79.59,79.59,"5,281,200"
50,"Oct 04, 2018",82.50,82.68,79.83,80.36,80.36,"7,509,500"
51,"Oct 03, 2018",83.82,83.93,82.52,83.02,83.02,"4,570,300"
52,"Oct 02, 2018",83.02,83.75,82.20,83.39,83.39,"5,374,800"
53,"Oct 01, 2018",84.18,84.68,82.31,83.28,83.28,"6,221,100"
54,"Sep 28, 2018",82.76,83.75,82.74,83.19,83.19,"6,724,300"
55,"Sep 27, 2018",81.94,83.23,81.92,82.87,82.87,"5,867,700"
56,"Sep 26, 2018",81.11,82.46,81.02,81.57,81.57,"6,408,700"
57,"Sep 25, 2018",80.92,81.26,79.87,80.53,80.53,"6,031,700"
58,"Sep 24, 2018",79.70,80.69,79.35,80.60,80.60,"6,092,500"
59,"Sep 21, 2018",81.33,81.33,80.25,80.29,80.29,"11,180,100"
60,"Sep 20, 2018",79.91,81.04,79.35,80.65,80.65,"4,388,900"
61,"Sep 19, 2018",79.93,80.13,78.52,79.58,79.58,"3,882,300"
62,"Sep 18, 2018",78.82,80.38,78.82,79.63,79.63,"4,943,100"
63,"Sep 17, 2018",81.49,81.88,78.66,78.88,78.88,"6,304,900"
64,"Sep 14, 2018",80.50,82.03,80.43,81.27,81.27,"6,022,400"
65,"Sep 13, 2018",80.59,81.40,79.83,80.43,80.43,"6,031,400"
66,"Sep 12, 2018",79.70,81.49,78.80,80.52,80.52,"8,838,000"
67,"Sep 11, 2018",74.88,79.54,74.66,79.50,79.50,"14,053,600"
68,"Sep 10, 2018",73.88,74.73,73.25,74.26,74.26,"5,277,200"
69,"Sep 07, 2018",71.83,73.71,71.81,73.57,73.57,"5,053,700"
70,"Sep 06, 2018",71.63,72.43,71.15,71.96,71.96,"5,784,800"
71,"Sep 05, 2018",72.93,73.18,71.00,71.65,71.65,"5,304,300"
72,"Sep 04, 2018",72.13,73.04,72.03,72.98,72.98,"6,618,200"
73,"Aug 31, 2018",71.52,72.45,71.01,72.10,72.10,"9,950,700"
74,"Aug 30, 2018",74.40,75.77,73.60,74.10,74.10,"7,819,100"
75,"Aug 29, 2018",73.94,75.40,73.88,74.91,74.91,"4,763,300"
76,"Aug 28, 2018",74.25,74.33,73.39,74.00,74.00,"4,079,800"
77,"Aug 27, 2018",74.87,75.00,73.33,74.09,74.09,"5,912,600"
78,"Aug 24, 2018",71.71,74.16,71.46,74.09,74.09,"8,889,500"
79,"Aug 23, 2018",71.56,71.90,70.51,71.17,71.17,"6,789,500"
80,"Aug 22, 2018",69.58,71.52,69.50,71.43,71.43,"7,987,900"
81,"Aug 21, 2018",69.27,70.26,69.04,69.66,69.66,"6,014,100"
82,"Aug 20, 2018",69.21,69.39,68.22,68.93,68.93,"4,579,800"
83,"Aug 17, 2018",69.51,69.67,68.33,69.15,69.15,"5,551,700"
84,"Aug 16, 2018",69.68,69.99,68.91,69.69,69.69,"9,465,200"
85,"Aug 15, 2018",70.39,70.81,68.44,69.31,69.31,"8,564,500"
86,"Aug 14, 2018",71.05,71.74,70.18,71.29,71.29,"4,830,000"
87,"Aug 13, 2018",70.61,72.30,70.26,70.52,70.52,"5,592,600"
88,"Aug 10, 2018",70.10,71.04,69.77,70.61,70.61,"4,629,000"
89,"Aug 09, 2018",70.02,70.97,69.56,70.50,70.50,"7,563,700"
90,"Aug 08, 2018",70.07,70.55,69.27,70.01,70.01,"6,922,800"
91,"Aug 07, 2018",70.57,71.67,69.87,70.23,70.23,"7,887,300"
92,"Aug 06, 2018",71.16,71.61,70.46,70.57,70.57,"6,394,800"
93,"Aug 03, 2018",74.50,75.25,70.73,71.32,71.32,"12,700,400"
94,"Aug 02, 2018",73.65,74.16,72.55,74.06,74.06,"6,621,500"
95,"Aug 01, 2018",73.77,74.58,72.92,73.08,73.08,"6,069,900"
96,"Jul 31, 2018",72.91,74.29,72.52,73.42,73.42,"6,373,200"
97,"Jul 30, 2018",75.37,75.48,71.79,72.75,72.75,"8,906,900"
98,"Jul 27, 2018",77.08,77.57,74.67,75.36,75.36,"6,078,100"
99,"Jul 26, 2018",79.39,79.62,77.46,77.65,77.65,"6,181,300"
