,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",47.60,48.42,46.64,47.08,47.08,"10,064,952"
1,"Dec 01, 2018",51.00,51.44,45.50,47.08,47.08,"148,669,100"
2,"Oct 31, 2018",69.48,70.29,46.83,49.88,49.88,"245,704,200"
3,"Sep 30, 2018",84.18,84.68,63.40,69.05,69.05,"190,721,400"
4,"Aug 31, 2018",72.13,83.75,71.00,83.19,83.19,"124,807,800"
5,"Jul 31, 2018",73.77,75.77,68.22,72.10,72.10,"159,579,700"
6,"Jun 30, 2018",75.36,81.64,71.79,73.42,73.42,"108,609,200"
7,"May 31, 2018",71.42,79.25,70.77,76.32,76.32,"107,295,300"
8,"Apr 30, 2018",66.15,73.50,64.06,70.91,70.91,"133,428,800"
9,"Mar 31, 2018",66.80,69.01,63.52,66.35,66.35,"108,591,600"
10,"Mar 27, 2018",0.34,Dividend,,,,
11,"Mar 01, 2018",73.16,79.63,64.45,67.46,67.11,"161,089,300"
12,"Feb 01, 2018",73.48,74.82,63.32,73.13,72.75,"140,097,700"
13,"Jan 01, 2018",63.54,74.94,63.37,74.13,73.75,"121,848,400"
14,"Dec 01, 2017",61.96,67.40,57.29,63.32,63.00,"115,833,300"
15,"Oct 31, 2017",65.69,67.03,60.10,62.40,62.08,"134,620,800"
16,"Sep 30, 2017",64.42,66.03,60.36,65.49,65.15,"118,285,500"
17,"Aug 31, 2017",65.66,66.50,61.32,64.51,64.18,"124,818,200"
18,"Jul 31, 2017",62.26,66.58,59.77,65.56,65.22,"135,809,600"
19,"Jun 30, 2017",57.77,63.19,55.86,61.78,61.46,"110,004,100"
20,"May 31, 2017",58.81,61.58,55.41,57.57,57.27,"168,390,800"
21,"Apr 30, 2017",52.63,60.13,52.32,58.58,58.28,"151,715,500"
22,"Mar 31, 2017",49.86,52.28,48.41,52.25,51.98,"82,633,100"
23,"Mar 27, 2017",0.3,Dividend,,,,
24,"Mar 01, 2017",45.47,50.40,45.18,49.86,49.30,"166,798,300"
25,"Feb 01, 2017",40.32,47.64,38.93,45.13,44.63,"229,501,800"
26,"Jan 01, 2017",36.44,40.28,36.18,40.21,39.76,"133,720,400"
27,"Dec 01, 2016",36.65,38.16,35.12,36.79,36.38,"158,530,800"
28,"Oct 31, 2016",43.27,43.67,36.32,36.61,36.20,"265,598,000"
29,"Sep 30, 2016",44.30,45.55,42.51,43.17,42.69,"121,881,200"
30,"Aug 31, 2016",41.44,45.12,41.41,44.30,43.80,"210,141,100"
31,"Jul 31, 2016",40.39,42.45,39.29,41.37,40.91,"193,582,800"
32,"Jun 30, 2016",39.69,43.05,39.28,40.16,39.71,"177,413,900"
33,"May 31, 2016",39.26,39.98,35.77,39.63,39.19,"237,859,200"
34,"Apr 30, 2016",34.70,39.99,33.61,39.26,38.82,"189,394,400"
35,"Mar 31, 2016",33.81,35.60,33.03,34.47,34.08,"102,566,500"
36,"Mar 27, 2016",0.26,Dividend,,,,
37,"Mar 01, 2016",31.96,34.50,30.37,33.84,33.19,"139,228,000"
38,"Feb 01, 2016",34.60,35.26,26.49,31.67,31.06,"270,421,100"
39,"Jan 01, 2016",38.05,38.09,32.55,34.82,34.15,"232,258,200"
40,"Dec 01, 2015",37.86,39.93,36.76,38.71,37.97,"135,521,700"
41,"Oct 31, 2015",34.25,38.03,32.39,37.66,36.94,"218,002,100"
42,"Sep 30, 2015",31.39,35.44,30.25,34.76,34.09,"164,620,700"
43,"Aug 31, 2015",27.86,32.50,27.51,30.89,30.30,"193,262,900"
44,"Jul 31, 2015",25.88,30.00,24.04,28.63,28.08,"293,018,100"
45,"Jun 30, 2015",24.40,26.45,24.32,25.79,25.30,"125,801,600"
46,"May 31, 2015",25.44,26.09,24.15,24.21,23.75,"142,725,400"
47,"Apr 30, 2015",22.79,25.95,22.66,25.26,24.78,"111,114,900"
48,"Mar 31, 2015",22.73,24.03,22.28,22.82,22.38,"83,973,200"
49,"Mar 25, 2015",0.23,Dividend,,,,
50,"Mar 01, 2015",23.32,23.69,22.30,22.73,22.07,"112,399,700"
51,"Feb 01, 2015",20.90,23.65,20.28,23.32,22.64,"169,780,400"
52,"Jan 01, 2015",20.24,21.19,18.43,20.90,20.29,"175,317,800"
53,"Dec 01, 2014",21.63,21.98,19.13,20.15,19.56,"135,443,300"
54,"Oct 31, 2014",20.22,21.88,19.53,21.65,21.02,"205,096,200"
55,"Sep 30, 2014",20.84,20.87,17.73,19.95,19.37,"216,311,300"
56,"Aug 31, 2014",23.53,24.18,20.65,20.79,20.18,"164,980,500"
57,"Jul 31, 2014",22.42,23.79,22.22,23.54,22.85,"114,368,400"
58,"Jun 30, 2014",22.39,23.43,22.12,22.38,21.73,"113,616,000"
59,"May 31, 2014",20.82,22.40,20.36,22.30,21.65,"157,751,600"
60,"Apr 30, 2014",19.97,21.31,19.12,20.78,20.18,"161,749,300"
61,"Mar 31, 2014",20.44,21.03,18.82,20.01,19.43,"105,899,000"
62,"Mar 16, 2014",0.2,Dividend,,,,
63,"Mar 01, 2014",19.12,21.50,19.03,20.44,19.66,"129,243,400"
64,"Feb 01, 2014",17.35,20.24,16.64,19.35,18.61,"157,150,900"
65,"Jan 01, 2014",17.91,18.55,16.55,17.13,16.47,"150,559,600"
66,"Dec 01, 2013",-,-,-,-,-,-
