,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",47.60,48.42,46.64,47.08,47.08,"10,064,952"
1,"Dec 17, 2018",47.60,48.42,46.64,47.08,47.08,"8,747,600"
2,"Dec 10, 2018",47.23,50.22,46.67,47.75,47.75,"49,814,700"
3,"Dec 03, 2018",51.00,51.44,45.50,47.23,47.23,"90,106,800"
4,"Nov 26, 2018",50.69,52.91,49.26,49.88,49.88,"49,435,100"
5,"Nov 19, 2018",50.81,51.21,46.83,50.05,50.05,"42,177,600"
6,"Nov 12, 2018",55.00,55.60,50.86,50.94,50.94,"55,238,700"
7,"Nov 05, 2018",68.00,68.30,53.50,55.01,55.01,"87,667,300"
8,"Oct 28, 2018",70.34,70.34,63.40,68.99,68.99,"39,049,100"
9,"Oct 21, 2018",70.10,70.95,66.71,68.84,68.84,"37,786,500"
10,"Oct 14, 2018",75.54,78.98,69.53,69.75,69.75,"54,949,200"
11,"Oct 07, 2018",79.02,80.25,73.23,77.92,77.92,"41,165,200"
12,"Sep 30, 2018",84.18,84.68,78.66,79.59,79.59,"28,956,900"
13,"Sep 23, 2018",79.70,83.75,79.35,83.19,83.19,"31,124,900"
14,"Sep 16, 2018",81.49,81.88,78.52,80.29,80.29,"30,699,300"
15,"Sep 09, 2018",73.88,82.03,73.25,81.27,81.27,"40,222,600"
16,"Sep 02, 2018",72.13,73.71,71.00,73.57,73.57,"22,761,000"
17,"Aug 26, 2018",74.87,75.77,71.01,72.10,72.10,"32,525,500"
18,"Aug 19, 2018",69.21,74.16,68.22,74.09,74.09,"34,260,800"
19,"Aug 12, 2018",70.61,72.30,68.33,69.15,69.15,"34,004,000"
20,"Aug 05, 2018",71.16,71.67,69.27,70.61,70.61,"33,397,600"
21,"Jul 29, 2018",75.37,75.48,70.73,71.32,71.32,"40,671,900"
22,"Jul 22, 2018",79.50,80.20,74.67,75.36,75.36,"24,624,000"
23,"Jul 15, 2018",81.61,81.64,77.55,79.65,79.65,"23,494,900"
24,"Jul 08, 2018",77.70,81.64,75.35,81.50,81.50,"28,904,000"
25,"Jul 01, 2018",75.36,77.68,75.00,77.19,77.19,"16,306,200"
26,"Jun 24, 2018",75.19,77.24,73.40,76.32,76.32,"24,581,400"
27,"Jun 17, 2018",77.02,77.93,75.22,75.98,75.98,"19,507,000"
28,"Jun 10, 2018",74.25,79.25,74.22,77.41,77.41,"31,368,000"
29,"Jun 03, 2018",73.25,75.28,72.19,74.29,74.29,"25,475,500"
30,"May 27, 2018",70.80,73.21,69.87,73.03,73.03,"21,280,100"
31,"May 20, 2018",72.50,73.50,70.05,71.46,71.46,"23,340,400"
32,"May 13, 2018",71.87,72.34,69.67,71.99,71.99,"24,011,200"
33,"May 06, 2018",70.27,72.91,69.18,71.70,71.70,"25,534,400"
34,"Apr 29, 2018",65.86,71.03,64.06,69.84,69.84,"50,686,900"
35,"Apr 22, 2018",66.60,67.84,64.01,65.79,65.79,"22,504,200"
36,"Apr 15, 2018",66.53,69.01,65.76,66.30,66.30,"24,975,200"
37,"Apr 08, 2018",65.16,67.59,64.96,65.88,65.88,"25,502,700"
38,"Apr 01, 2018",66.80,67.66,63.52,64.56,64.56,"30,548,700"
39,"Mar 25, 2018",69.43,70.67,64.45,67.46,67.11,"34,212,200"
40,"Mar 18, 2018",71.00,72.63,68.02,68.04,67.69,"27,636,300"
41,"Mar 11, 2018",79.24,79.63,71.61,71.68,71.31,"45,854,700"
42,"Mar 05, 2018",73.66,78.25,72.75,78.22,77.82,"38,319,800"
43,"Feb 26, 2018",72.68,74.82,70.74,74.01,73.63,"31,546,300"
44,"Feb 19, 2018",69.97,72.07,69.07,72.07,71.70,"22,013,400"
45,"Feb 12, 2018",67.16,72.13,67.11,70.19,69.83,"33,567,100"
46,"Feb 05, 2018",70.54,71.13,63.32,67.08,66.74,"56,701,800"
47,"Jan 29, 2018",72.50,74.94,70.73,71.42,71.05,"31,542,800"
48,"Jan 22, 2018",70.45,72.59,69.68,72.52,72.15,"28,620,400"
49,"Jan 15, 2018",70.92,71.18,68.40,70.57,70.21,"23,258,500"
50,"Jan 08, 2018",66.49,70.71,64.90,70.36,70.00,"31,320,500"
51,"Jan 01, 2018",63.54,66.47,63.37,66.37,66.03,"18,441,600"
52,"Dec 25, 2017",64.24,64.47,62.60,63.32,63.00,"14,403,700"
53,"Dec 18, 2017",67.08,67.40,64.01,64.51,64.18,"23,755,400"
54,"Dec 11, 2017",62.14,67.00,62.14,66.73,66.39,"30,543,500"
55,"Dec 04, 2017",62.39,63.51,57.29,62.43,62.11,"41,687,300"
56,"Nov 27, 2017",66.18,66.46,60.71,61.96,61.64,"31,745,600"
57,"Nov 20, 2017",63.93,66.31,63.28,66.03,65.69,"14,267,400"
58,"Nov 13, 2017",62.72,64.44,62.50,64.10,63.77,"20,473,100"
59,"Nov 06, 2017",63.41,64.90,60.10,63.00,62.68,"43,430,300"
60,"Oct 29, 2017",64.33,67.03,62.11,63.20,62.88,"43,592,400"
61,"Oct 22, 2017",62.70,64.27,61.19,64.14,63.81,"26,820,300"
62,"Oct 15, 2017",61.12,63.14,60.36,62.63,62.31,"21,550,400"
63,"Oct 08, 2017",61.50,62.58,60.52,61.08,60.77,"32,088,300"
64,"Oct 01, 2017",64.42,64.71,62.15,63.25,62.93,"24,381,900"
65,"Sep 24, 2017",63.62,64.71,61.32,64.51,64.18,"30,847,200"
66,"Sep 17, 2017",65.00,65.45,63.33,63.90,63.57,"29,392,700"
67,"Sep 10, 2017",65.54,66.50,64.68,65.00,64.67,"36,294,600"
68,"Sep 03, 2017",64.84,66.17,63.87,64.93,64.60,"22,664,100"
69,"Aug 27, 2017",63.09,66.58,61.95,65.12,64.79,"29,150,900"
70,"Aug 20, 2017",62.00,64.48,61.43,62.58,62.26,"24,404,100"
71,"Aug 13, 2017",61.50,63.21,61.05,62.01,61.69,"20,453,800"
72,"Aug 06, 2017",62.14,62.85,59.77,60.74,60.43,"34,463,000"
73,"Jul 30, 2017",61.55,64.06,60.43,62.01,61.69,"37,957,100"
74,"Jul 23, 2017",60.95,63.19,59.88,61.45,61.13,"28,062,500"
75,"Jul 16, 2017",60.82,62.39,60.11,60.93,60.62,"22,781,600"
76,"Jul 09, 2017",58.28,61.40,57.68,60.75,60.44,"31,064,800"
77,"Jul 02, 2017",57.77,58.36,55.86,58.09,57.79,"23,095,500"
78,"Jun 25, 2017",60.68,61.18,56.22,57.57,57.27,"34,584,000"
79,"Jun 18, 2017",59.16,61.58,59.16,60.44,60.13,"35,599,000"
80,"Jun 11, 2017",57.06,59.47,55.41,58.80,58.50,"49,514,700"
81,"Jun 04, 2017",59.76,61.10,56.95,58.03,57.73,"33,572,800"
82,"May 28, 2017",58.48,59.74,57.77,59.65,59.34,"29,705,700"
83,"May 21, 2017",56.20,60.13,55.76,58.28,57.98,"39,509,000"
84,"May 14, 2017",56.01,57.30,53.66,55.88,55.59,"37,760,300"
85,"May 07, 2017",53.81,56.23,53.35,56.01,55.72,"26,804,300"
86,"Apr 30, 2017",52.63,54.75,52.32,53.83,53.55,"33,056,500"
87,"Apr 23, 2017",50.50,52.28,50.36,52.25,51.98,"24,797,500"
88,"Apr 16, 2017",48.56,50.06,48.50,49.87,49.61,"19,675,700"
89,"Apr 09, 2017",49.50,49.64,48.41,48.42,48.17,"15,373,400"
90,"Apr 02, 2017",49.86,50.07,48.86,49.61,49.36,"22,786,500"
91,"Mar 26, 2017",48.74,50.40,48.74,49.86,49.30,"37,749,600"
92,"Mar 19, 2017",49.16,49.45,47.80,49.12,48.57,"32,323,400"
93,"Mar 12, 2017",49.30,49.70,48.62,49.13,48.58,"31,828,500"
94,"Mar 06, 2017",46.75,49.57,46.75,49.20,48.65,"36,996,700"
95,"Feb 27, 2017",45.33,47.33,44.95,47.07,46.54,"42,266,900"
96,"Feb 20, 2017",45.41,45.75,44.60,45.55,45.04,"24,595,600"
97,"Feb 13, 2017",46.04,46.70,44.47,45.33,44.82,"66,945,000"
