,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",195.84,198.25,191.85,192.82,192.82,"2,547,100"
1,"Dec 14, 2018",200.12,201.57,195.85,196.10,196.10,"2,473,200"
2,"Dec 13, 2018",201.43,202.40,199.52,202.13,202.13,"1,831,700"
3,"Dec 12, 2018",200.60,202.62,199.70,199.81,199.81,"1,919,000"
4,"Dec 11, 2018",201.26,202.00,196.14,197.46,197.46,"1,828,900"
5,"Dec 10, 2018",198.36,198.95,193.64,198.32,198.32,"1,980,300"
6,"Dec 07, 2018",202.62,204.37,197.01,198.24,198.24,"2,254,500"
7,"Dec 06, 2018",199.61,203.08,198.19,202.68,202.68,"2,991,800"
8,"Dec 04, 2018",208.06,208.55,202.09,202.20,202.20,"2,698,700"
9,"Dec 03, 2018",211.21,211.95,207.05,208.76,208.76,"2,493,400"
10,"Nov 30, 2018",204.36,207.92,203.98,207.92,207.92,"3,171,900"
11,"Nov 29, 2018",203.87,205.84,202.66,204.56,204.56,"1,569,200"
12,"Nov 28, 2018",201.99,204.35,199.42,204.34,204.34,"2,184,400"
13,"Nov 27, 2018",199.12,201.32,196.78,200.69,200.69,"2,079,600"
14,"Nov 26, 2018",198.57,201.83,197.32,199.86,199.86,"2,321,000"
15,"Nov 23, 2018",197.76,198.68,196.79,196.80,196.80,"999,900"
16,"Nov 21, 2018",199.68,201.18,198.66,198.69,198.69,"1,832,700"
17,"Nov 20, 2018",203.58,204.14,200.19,200.51,199.15,"2,677,200"
18,"Nov 19, 2018",207.83,208.05,204.37,205.58,204.19,"3,220,400"
19,"Nov 16, 2018",203.24,209.77,202.60,209.00,207.58,"2,620,400"
20,"Nov 15, 2018",197.73,205.13,196.24,204.91,203.52,"3,157,500"
21,"Nov 14, 2018",200.80,201.04,196.29,198.06,196.72,"2,797,700"
22,"Nov 13, 2018",197.52,200.88,197.16,198.37,197.02,"2,168,800"
23,"Nov 12, 2018",200.57,200.77,196.50,197.04,195.70,"2,770,000"
24,"Nov 09, 2018",204.00,204.00,199.70,201.10,199.74,"2,429,300"
25,"Nov 08, 2018",201.00,204.27,200.73,204.07,202.69,"2,534,000"
26,"Nov 07, 2018",197.19,201.40,195.41,201.29,199.92,"2,444,400"
27,"Nov 06, 2018",193.27,195.50,193.00,195.30,193.98,"1,900,200"
28,"Nov 05, 2018",193.50,194.56,192.21,193.25,191.94,"2,886,500"
29,"Nov 02, 2018",193.66,194.47,191.60,192.81,191.50,"3,069,600"
30,"Nov 01, 2018",190.61,193.21,190.09,192.22,190.92,"2,242,800"
31,"Oct 31, 2018",190.70,192.12,189.67,190.26,188.97,"2,845,100"
32,"Oct 30, 2018",186.83,190.08,185.00,189.81,188.52,"2,919,600"
33,"Oct 29, 2018",187.85,188.88,183.16,185.79,184.53,"2,867,600"
34,"Oct 26, 2018",183.31,186.66,181.98,184.95,183.70,"3,546,200"
35,"Oct 25, 2018",186.57,187.48,182.36,184.99,183.74,"3,535,200"
36,"Oct 24, 2018",192.10,192.96,183.97,184.54,183.29,"5,003,500"
37,"Oct 23, 2018",188.80,194.89,184.50,192.55,191.24,"8,255,600"
38,"Oct 22, 2018",201.25,203.40,199.69,201.36,199.99,"3,263,300"
39,"Oct 19, 2018",200.12,201.10,198.37,199.85,198.49,"3,167,300"
40,"Oct 18, 2018",202.34,202.52,198.40,200.38,199.02,"2,339,400"
41,"Oct 17, 2018",201.79,203.77,200.45,202.93,201.55,"1,824,200"
42,"Oct 16, 2018",200.46,202.52,199.23,202.33,200.96,"1,939,500"
43,"Oct 15, 2018",197.82,200.70,197.42,198.94,197.59,"1,812,800"
44,"Oct 12, 2018",200.87,202.55,195.93,198.23,196.89,"2,798,100"
45,"Oct 11, 2018",201.15,202.91,196.50,196.73,195.40,"3,497,200"
46,"Oct 10, 2018",209.19,209.19,201.55,202.15,200.78,"3,525,200"
47,"Oct 09, 2018",212.68,213.11,209.64,210.42,208.99,"2,947,400"
48,"Oct 08, 2018",213.13,214.58,212.26,214.37,212.92,"1,666,700"
49,"Oct 05, 2018",214.35,215.03,211.06,213.19,211.74,"2,140,300"
50,"Oct 04, 2018",214.85,215.66,212.04,213.84,212.39,"1,682,500"
