,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",195.84,198.24,191.85,192.82,192.82,"2,547,591"
1,"Dec 01, 2018",211.21,211.95,191.85,192.82,192.82,"23,018,600"
2,"Nov 20, 2018",1.36,Dividend,,,,
3,"Oct 31, 2018",190.61,209.77,190.09,207.92,206.51,"51,077,500"
4,"Sep 30, 2018",212.40,217.34,181.98,190.26,188.97,"67,294,100"
5,"Aug 31, 2018",210.55,217.87,205.90,210.71,209.28,"45,069,500"
6,"Aug 22, 2018",1.36,Dividend,,,,
7,"Jul 31, 2018",210.98,211.72,197.11,210.92,208.09,"39,290,600"
8,"Jun 30, 2018",195.46,212.78,190.57,212.32,209.48,"51,342,100"
9,"May 31, 2018",198.75,206.79,193.64,196.72,194.08,"52,807,600"
10,"May 16, 2018",1.36,Dividend,,,,
11,"Apr 30, 2018",194.03,206.04,191.44,197.23,193.27,"64,957,700"
12,"Mar 31, 2018",218.05,221.69,194.18,194.39,190.48,"67,396,900"
13,"Mar 01, 2018",236.15,243.10,214.73,219.52,215.11,"55,656,900"
14,"Feb 14, 2018",1.36,Dividend,,,,
15,"Feb 01, 2018",247.44,250.09,218.18,235.51,229.42,"58,411,400"
16,"Jan 01, 2018",235.78,259.77,232.81,250.50,244.03,"49,012,500"
17,"Dec 01, 2017",243.19,244.23,234.28,235.37,229.29,"38,798,800"
18,"Nov 21, 2017",1.175,Dividend,,,,
19,"Oct 31, 2017",231.00,243.45,226.04,243.14,235.67,"34,753,400"
20,"Sep 30, 2017",210.73,238.90,210.03,230.19,223.12,"46,169,500"
21,"Aug 31, 2017",204.61,214.65,200.51,209.90,203.45,"35,746,200"
22,"Aug 22, 2017",1.175,Dividend,,,,
23,"Jul 31, 2017",202.29,208.63,201.33,204.32,196.91,"34,864,200"
24,"Jun 30, 2017",209.14,213.41,197.17,201.17,193.87,"35,520,800"
25,"May 31, 2017",204.25,214.57,203.68,208.19,200.64,"40,505,700"
26,"May 16, 2017",1.175,Dividend,,,,
27,"Apr 30, 2017",195.50,204.47,193.54,204.47,195.88,"40,020,700"
28,"Mar 31, 2017",191.87,197.12,188.62,195.83,187.61,"34,988,200"
29,"Mar 01, 2017",188.08,193.50,188.01,191.33,183.29,"44,760,300"
30,"Feb 14, 2017",1.175,Dividend,,,,
31,"Feb 01, 2017",175.17,188.41,173.55,186.35,177.37,"38,913,300"
32,"Jan 01, 2017",178.83,180.00,173.81,174.82,166.39,"37,973,900"
33,"Dec 01, 2016",171.64,180.06,171.09,178.49,169.89,"43,275,700"
34,"Nov 15, 2016",1.11,Dividend,,,,
35,"Oct 31, 2016",165.40,175.51,163.85,171.74,162.42,"43,839,600"
36,"Sep 30, 2016",175.33,175.95,165.11,165.30,156.33,"41,869,500"
37,"Aug 31, 2016",179.31,181.66,174.39,176.23,166.67,"38,129,500"
38,"Aug 16, 2016",1.11,Dividend,,,,
39,"Jul 31, 2016",177.08,181.47,177.08,179.24,168.47,"30,847,900"
40,"Jun 30, 2016",175.14,182.27,173.51,178.36,167.64,"38,573,800"
41,"May 31, 2016",167.78,175.14,165.16,175.12,164.59,"46,954,200"
42,"May 17, 2016",1.11,Dividend,,,,
43,"Apr 30, 2016",167.30,171.27,163.17,168.32,157.16,"36,421,000"
44,"Mar 31, 2016",165.63,170.77,164.65,167.38,156.28,"38,808,500"
45,"Mar 01, 2016",158.75,167.50,157.61,166.63,155.58,"48,571,200"
46,"Feb 09, 2016",1.11,Dividend,,,,
47,"Feb 01, 2016",149.33,159.50,146.05,156.87,145.41,"52,714,600"
48,"Jan 01, 2016",148.05,151.00,134.64,151.00,139.97,"63,774,600"
49,"Dec 01, 2015",156.41,158.69,146.69,150.64,139.64,"61,082,900"
50,"Nov 17, 2015",1.025,Dividend,,,,
51,"Oct 31, 2015",157.51,160.09,155.60,156.58,144.20,"42,405,000"
52,"Sep 30, 2015",142.21,158.68,138.57,157.21,144.78,"54,326,800"
53,"Aug 31, 2015",139.48,145.55,135.39,141.77,130.56,"65,025,100"
54,"Aug 18, 2015",1.025,Dividend,,,,
55,"Jul 31, 2015",150.79,153.24,134.00,142.14,129.99,"59,177,300"
56,"Jun 30, 2015",156.13,157.94,147.70,151.34,138.41,"54,769,600"
57,"May 31, 2015",159.10,160.87,153.92,154.30,141.12,"48,498,000"
58,"May 19, 2015",1.025,Dividend,,,,
59,"Apr 30, 2015",156.79,163.77,156.55,159.08,144.57,"42,812,300"
60,"Mar 31, 2015",164.29,167.70,156.01,156.39,142.13,"53,233,500"
61,"Mar 01, 2015",168.16,170.50,161.21,164.95,149.91,"48,099,100"
62,"Feb 10, 2015",1.025,Dividend,,,,
63,"Feb 01, 2015",162.12,169.98,160.89,168.65,152.32,"37,318,800"
64,"Jan 01, 2015",164.71,166.57,157.74,162.30,146.59,"54,720,500"
65,"Dec 01, 2014",158.35,168.16,155.59,164.32,148.41,"53,439,800"
66,"Nov 18, 2014",0.855,Dividend,,,,
67,"Oct 31, 2014",153.14,160.86,152.98,160.09,143.82,"41,063,300"
68,"Sep 30, 2014",141.16,154.44,130.60,153.77,138.14,"84,979,600"
69,"Aug 31, 2014",143.30,147.87,140.66,141.68,127.28,"51,777,700"
70,"Aug 19, 2014",0.855,Dividend,,,,
71,"Jul 31, 2014",140.15,145.39,138.43,144.00,128.60,"41,032,800"
72,"Jun 30, 2014",143.41,146.43,140.60,140.89,125.82,"43,313,100"
73,"May 31, 2014",142.27,145.53,141.61,143.24,127.92,"35,654,200"
74,"May 20, 2014",0.855,Dividend,,,,
75,"Apr 30, 2014",139.50,143.37,138.65,142.55,126.53,"48,494,200"
76,"Mar 31, 2014",135.88,139.52,132.02,139.09,123.46,"52,411,200"
77,"Mar 01, 2014",133.07,135.87,129.70,135.66,120.41,"60,219,300"
78,"Feb 11, 2014",0.855,Dividend,,,,
79,"Feb 01, 2014",128.22,135.20,123.61,134.73,118.81,"62,329,700"
80,"Jan 01, 2014",138.05,139.29,126.42,128.19,113.04,"60,369,400"
81,"Dec 01, 2013",-,-,-,-,-,-
