,Date,Open,	High,Low,Close,Adj Close,Volume
0,"Dec 17, 2018",195.84,198.24,191.85,192.82,192.82,"2,547,591"
1,"Dec 17, 2018",195.84,198.25,191.85,192.82,192.82,"2,547,100"
2,"Dec 10, 2018",198.36,202.62,193.64,196.10,196.10,"10,033,100"
3,"Dec 03, 2018",211.21,211.95,197.01,198.24,198.24,"10,438,400"
4,"Nov 26, 2018",198.57,207.92,196.78,207.92,207.92,"11,326,100"
5,"Nov 19, 2018",207.83,208.05,196.79,196.80,195.47,"8,730,200"
6,"Nov 12, 2018",200.57,209.77,196.24,209.00,207.58,"13,514,400"
7,"Nov 05, 2018",193.50,204.27,192.21,201.10,199.74,"12,194,400"
8,"Oct 28, 2018",187.85,194.47,183.16,192.81,191.50,"13,944,700"
9,"Oct 21, 2018",201.25,203.40,181.98,184.95,183.70,"23,603,800"
10,"Oct 14, 2018",197.82,203.77,197.42,199.85,198.49,"11,083,200"
11,"Oct 07, 2018",213.13,214.58,195.93,198.23,196.89,"14,434,600"
12,"Sep 30, 2018",212.40,217.34,211.06,213.19,211.74,"9,540,200"
13,"Sep 23, 2018",215.39,215.87,208.87,210.71,209.28,"9,923,100"
14,"Sep 16, 2018",207.46,217.87,207.30,216.33,214.86,"12,786,600"
15,"Sep 09, 2018",213.68,216.37,205.90,207.88,206.47,"13,197,100"
16,"Sep 02, 2018",210.55,213.37,207.35,212.57,211.13,"9,162,700"
17,"Aug 26, 2018",206.18,211.72,205.85,210.92,209.49,"10,208,500"
18,"Aug 19, 2018",205.72,206.04,201.46,205.29,202.54,"8,306,600"
19,"Aug 12, 2018",202.02,204.99,197.11,204.77,202.03,"8,574,200"
20,"Aug 05, 2018",207.45,209.61,201.00,201.96,199.25,"7,135,100"
21,"Jul 29, 2018",208.25,212.78,203.85,207.29,204.51,"10,679,800"
22,"Jul 22, 2018",201.54,210.60,190.57,207.42,204.64,"19,897,100"
23,"Jul 15, 2018",201.55,203.17,198.25,201.95,199.24,"10,275,400"
24,"Jul 08, 2018",198.14,202.58,197.40,201.18,198.49,"8,867,800"
25,"Jul 01, 2018",195.46,198.95,193.51,197.46,194.81,"6,688,200"
26,"Jun 24, 2018",195.98,199.90,193.64,196.72,194.08,"12,602,700"
27,"Jun 17, 2018",202.53,204.57,194.59,196.50,193.87,"13,108,400"
28,"Jun 10, 2018",206.59,206.79,200.11,204.97,202.22,"13,877,900"
29,"Jun 03, 2018",200.73,206.75,200.07,206.59,203.82,"11,399,000"
30,"May 27, 2018",198.00,200.42,195.10,199.59,196.92,"11,561,400"
31,"May 20, 2018",200.50,202.93,196.56,199.03,196.36,"10,885,400"
32,"May 13, 2018",205.67,206.04,198.45,198.96,194.96,"13,750,100"
33,"May 06, 2018",200.06,205.68,199.56,205.16,201.04,"15,354,700"
34,"Apr 29, 2018",196.96,199.93,191.44,199.36,195.35,"19,234,400"
35,"Apr 22, 2018",218.02,218.73,194.40,196.12,192.18,"27,876,600"
36,"Apr 15, 2018",217.20,221.69,216.59,217.75,213.37,"9,600,700"
37,"Apr 08, 2018",213.75,218.71,212.40,215.52,211.19,"11,190,700"
38,"Apr 01, 2018",218.05,220.31,209.47,212.25,207.98,"14,720,200"
39,"Mar 25, 2018",217.86,221.86,214.73,219.52,215.11,"11,436,600"
40,"Mar 18, 2018",236.01,237.22,215.27,215.36,211.03,"14,454,700"
41,"Mar 11, 2018",242.10,243.10,233.85,237.22,232.45,"13,029,400"
42,"Mar 05, 2018",230.00,241.37,228.53,241.35,236.50,"10,336,300"
43,"Feb 26, 2018",239.01,244.86,226.33,230.37,225.74,"13,726,400"
44,"Feb 19, 2018",234.54,237.89,232.10,237.02,232.26,"9,138,500"
45,"Feb 12, 2018",227.49,238.44,226.10,236.67,230.55,"12,501,100"
46,"Feb 05, 2018",243.50,244.40,218.18,225.21,219.39,"22,854,100"
47,"Jan 29, 2018",258.51,259.34,244.88,245.17,238.83,"14,446,500"
48,"Jan 22, 2018",247.13,259.77,245.08,258.63,251.95,"14,192,700"
49,"Jan 15, 2018",245.30,249.00,243.83,248.18,241.77,"9,093,800"
50,"Jan 08, 2018",239.38,246.00,239.18,244.47,238.15,"8,667,000"
51,"Jan 01, 2018",235.78,240.90,232.81,240.57,234.35,"9,203,700"
52,"Dec 25, 2017",235.08,237.31,234.84,235.37,229.29,"4,293,200"
53,"Dec 18, 2017",238.58,240.01,234.28,234.73,228.66,"9,250,000"
